filename,route,minx,miny,maxx,maxy
O2023_85_45_1_0028_00002923_3000_6000.tif,85-45,656281.00,6178788.00,656381.00,6178888.00
O2021_82_21_1_0004_00002040_16000_1000.tif,82-21,497292.00,6220666.00,497392.00,6220766.00
O2023_85_45_1_0025_00001590_2000_7000.tif,85-45,654325.00,6144966.00,654425.00,6145066.00
O2021_82_20_1_0023_00004974_10000_3000.tif,82-20,496340.00,6220977.00,496440.00,6221077.00
O2023_85_45_1_0027_00002587_5000_1000.tif,85-45,655937.00,6178683.00,656037.00,6178783.00
O2023_85_48_1_0052_00000182_8790_1000.tif,85-48,654688.00,6144980.00,654788.00,6145080.00
O2023_85_45_1_0026_00002358_1000_3000.tif,85-45,654889.00,6144810.00,654989.00,6144910.00
O2021_82_20_1_0023_00004976_14000_3000.tif,82-20,496736.00,6219912.00,496836.00,6220012.00
O2021_82_20_1_0023_00004975_14000_4000.tif,82-20,496737.00,6220345.00,496837.00,6220445.00
O2023_85_45_1_0025_00001588_1000_3000.tif,85-45,654194.00,6144993.00,654294.00,6145093.00
O2023_85_45_1_0028_00002926_4000_1000.tif,85-45,656385.00,6178813.00,656485.00,6178913.00
O2021_82_20_1_0024_00005080_13000_11000.tif,82-20,497958.00,6220731.00,498058.00,6220831.00
O2023_85_45_1_0026_00002355_1000_7000.tif,85-45,654887.00,6144953.00,654987.00,6145053.00
O2023_85_45_1_0024_00001568_6000_4000.tif,85-45,654187.00,6145037.00,654287.00,6145137.00
O2021_82_20_1_0024_00005078_11000_1000.tif,82-20,497758.00,6220667.00,497858.00,6220767.00
O2021_82_20_1_0024_00005079_10000_11000.tif,82-20,497659.00,6220199.00,497759.00,6220299.00
O2021_82_21_1_0005_00001869_5000_1000.tif,82-21,497319.00,6220081.00,497419.00,6220181.00
O2021_82_20_1_0023_00004974_9000_10000.tif,82-20,496240.00,6220277.00,496340.00,6220377.00
O2023_85_45_1_0027_00002589_2000_7000.tif,85-45,655633.00,6178460.00,655733.00,6178560.00
O2023_85_45_1_0028_00002925_3000_3000.tif,85-45,656282.00,6178769.00,656382.00,6178869.00
O2021_82_20_1_0023_00004974_15000_11000.tif,82-20,496840.00,6220177.00,496940.00,6220277.00
O2023_85_45_1_0028_00002926_2000_0.tif,85-45,656185.00,6178913.00,656285.00,6179013.00
O2021_82_21_1_0004_00002040_5000_1000.tif,82-21,496192.00,6220666.00,496292.00,6220766.00
O2023_85_45_1_0026_00002142_8780_6000.tif,85-45,655673.00,6178792.00,655773.00,6178892.00
O2023_85_45_1_0025_00001591_1000_7000.tif,85-45,654240.00,6145126.00,654340.00,6145226.00
O2023_85_48_1_0054_00000564_2000_7000.tif,85-48,655239.00,6145390.00,655339.00,6145490.00
O2023_85_45_1_0027_00002589_3000_6000.tif,85-45,655733.00,6178502.00,655833.00,6178602.00
O2021_82_21_1_0005_00001868_5000_0.tif,82-21,497320.00,6220755.00,497420.00,6220855.00
O2023_85_45_1_0028_00002925_2000_2000.tif,85-45,656182.00,6178869.00,656282.00,6178969.00
O2023_85_45_1_0027_00002586_6000_1000.tif,85-45,656036.00,6178521.00,656136.00,6178621.00
O2021_82_21_1_0004_00002040_14000_0.tif,82-21,497092.00,6220766.00,497192.00,6220866.00
O2023_85_45_1_0025_00001589_2000_3000.tif,85-45,654309.00,6145150.00,654409.00,6145250.00
O2021_82_20_1_0024_00005079_0_9000.tif,82-20,496659.00,6220399.00,496759.00,6220499.00
O2021_82_20_1_0023_00004976_15000_2000.tif,82-20,496836.00,6220012.00,496936.00,6220112.00
O2023_85_48_1_0053_00000196_7000_5000.tif,85-48,655122.00,6145333.00,655222.00,6145433.00
O2021_82_20_1_0023_00004975_15000_5000.tif,82-20,496837.00,6220245.00,496937.00,6220345.00
O2021_82_20_1_0023_00004975_7000_1000.tif,82-20,496037.00,6220645.00,496137.00,6220745.00
O2023_85_48_1_0053_00000195_8780_6000.tif,85-48,655299.00,6145400.00,655399.00,6145500.00
O2023_85_48_1_0052_00000182_6000_0.tif,85-48,654409.00,6145080.00,654509.00,6145180.00
O2021_82_20_1_0024_00005078_5000_1000.tif,82-20,497158.00,6220667.00,497258.00,6220767.00
O2021_82_21_1_0005_00001868_6000_1000.tif,82-21,497420.00,6220655.00,497520.00,6220755.00
O2021_82_21_1_0004_00002039_16000_2000.tif,82-21,497283.00,6220084.00,497383.00,6220184.00
O2023_85_45_1_0025_00001590_3000_6000.tif,85-45,654425.00,6145008.00,654525.00,6145108.00
O2023_85_48_1_0053_00000196_8000_5000.tif,85-48,655222.00,6145333.00,655322.00,6145433.00
O2021_82_20_1_0023_00004975_8000_1000.tif,82-20,496137.00,6220645.00,496237.00,6220745.00
O2021_82_20_1_0023_00004976_14000_0.tif,82-20,496736.00,6220212.00,496836.00,6220312.00
O2023_85_48_1_0053_00000198_8780_2000.tif,85-48,655301.00,6145316.00,655401.00,6145416.00
O2021_82_21_1_0005_00001868_9000_1000.tif,82-21,497720.00,6220655.00,497820.00,6220755.00
O2023_85_48_1_0054_00000562_0_4000.tif,85-48,655033.00,6145320.00,655133.00,6145420.00
O2023_85_45_1_0026_00002355_2000_4000.tif,85-45,654987.00,6145186.00,655087.00,6145286.00
O2021_82_21_1_0005_00001868_4000_3000.tif,82-21,497220.00,6220455.00,497320.00,6220555.00
O2021_82_20_1_0024_00005078_7000_3000.tif,82-20,497358.00,6220467.00,497458.00,6220567.00
O2021_82_21_1_0004_00002040_15000_2000.tif,82-21,497192.00,6220566.00,497292.00,6220666.00
O2021_82_20_1_0023_00004973_6000_8000.tif,82-20,495939.00,6221008.00,496039.00,6221108.00
O2023_85_48_1_0052_00000186_5000_6000.tif,85-48,654321.00,6145103.00,654421.00,6145203.00
O2023_85_45_1_0027_00002588_3000_5000.tif,85-45,655738.00,6178444.00,655838.00,6178544.00
O2023_85_45_1_0027_00002587_6000_2000.tif,85-45,656037.00,6178583.00,656137.00,6178683.00
O2021_82_20_1_0024_00005078_8000_3000.tif,82-20,497458.00,6220467.00,497558.00,6220567.00
O2021_82_21_1_0005_00001869_9000_2000.tif,82-21,497719.00,6219981.00,497819.00,6220081.00
O2021_82_21_1_0004_00002040_6000_2000.tif,82-21,496292.00,6220566.00,496392.00,6220666.00
O2021_82_21_1_0005_00001869_6000_2000.tif,82-21,497419.00,6219981.00,497519.00,6220081.00
O2021_82_20_1_0024_00005078_12000_2000.tif,82-20,497858.00,6220567.00,497958.00,6220667.00
O2021_82_21_1_0005_00001868_11000_2000.tif,82-21,497920.00,6220555.00,498020.00,6220655.00
O2021_82_21_1_0004_00002040_9000_2000.tif,82-21,496592.00,6220566.00,496692.00,6220666.00
O2021_82_21_1_0004_00002039_15000_0.tif,82-21,497183.00,6220284.00,497283.00,6220384.00
O2023_85_45_1_0028_00002923_0_7000.tif,85-45,655981.00,6178737.00,656081.00,6178837.00
O2023_85_48_1_0052_00000185_3000_5000.tif,85-48,654120.00,6145048.00,654220.00,6145148.00
O2021_82_20_1_0024_00005080_12000_11000.tif,82-20,497858.00,6220731.00,497958.00,6220831.00
O2021_82_20_1_0024_00005078_13000_3000.tif,82-20,497958.00,6220467.00,498058.00,6220567.00
O2021_82_20_1_0024_00005079_4000_3000.tif,82-20,497059.00,6220999.00,497159.00,6221099.00
O2021_82_21_1_0004_00002040_8000_3000.tif,82-21,496492.00,6220466.00,496592.00,6220566.00
O2021_82_21_1_0005_00001868_10000_3000.tif,82-21,497820.00,6220455.00,497920.00,6220555.00
O2023_85_45_1_0028_00002927_0_2000.tif,85-45,655982.00,6178553.00,656082.00,6178653.00
O2021_82_20_1_0023_00004974_6000_3000.tif,82-20,495940.00,6220977.00,496040.00,6221077.00
O2021_82_20_1_0023_00004975_15000_8000.tif,82-20,496837.00,6219945.00,496937.00,6220045.00
O2021_82_20_1_0023_00004974_9000_3000.tif,82-20,496240.00,6220977.00,496340.00,6221077.00
O2021_82_21_1_0004_00002040_7000_3000.tif,82-21,496392.00,6220466.00,496492.00,6220566.00
O2021_82_21_1_0004_00002040_14000_3000.tif,82-21,497092.00,6220466.00,497192.00,6220566.00
O2021_82_20_1_0023_00004973_7000_9000.tif,82-20,496039.00,6220908.00,496139.00,6221008.00
O2021_82_20_1_0023_00004973_16000_10000.tif,82-20,496939.00,6220808.00,497039.00,6220908.00
O2023_85_48_1_0052_00000186_4000_7000.tif,85-48,654221.00,6145063.00,654321.00,6145163.00
O2021_82_20_1_0023_00004974_14000_11000.tif,82-20,496740.00,6220177.00,496840.00,6220277.00
O2021_82_20_1_0024_00005079_0_4000.tif,82-20,496659.00,6220899.00,496759.00,6220999.00
O2021_82_20_1_0023_00004974_8000_10000.tif,82-20,496140.00,6220277.00,496240.00,6220377.00
O2021_82_20_1_0024_00005078_9000_2000.tif,82-20,497558.00,6220567.00,497658.00,6220667.00
O2021_82_20_1_0023_00004976_16000_1000.tif,82-20,496936.00,6220112.00,497036.00,6220212.00
O2021_82_20_1_0023_00004973_8000_9000.tif,82-20,496139.00,6220908.00,496239.00,6221008.00
O2021_82_20_1_0023_00004975_16000_6000.tif,82-20,496937.00,6220145.00,497037.00,6220245.00
O2021_82_20_1_0024_00005079_11000_11000.tif,82-20,497759.00,6220199.00,497859.00,6220299.00
O2021_82_20_1_0023_00004973_16000_8000.tif,82-20,496939.00,6221008.00,497039.00,6221108.00
O2021_82_21_1_0005_00001868_5000_2000.tif,82-21,497320.00,6220555.00,497420.00,6220655.00
O2021_82_20_1_0024_00005080_5000_9000.tif,82-20,497158.00,6220931.00,497258.00,6221031.00
O2021_82_20_1_0024_00005078_6000_2000.tif,82-20,497258.00,6220567.00,497358.00,6220667.00
O2021_82_20_1_0024_00005080_8000_10000.tif,82-20,497458.00,6220831.00,497558.00,6220931.00
O2023_85_45_1_0027_00002591_8000_5000.tif,85-45,656227.00,6178921.00,656327.00,6179021.00
O2021_82_21_1_0004_00002040_3000_7000.tif,82-21,495992.00,6220066.00,496092.00,6220166.00
O2023_85_45_1_0028_00002925_5000_5000.tif,85-45,656482.00,6178569.00,656582.00,6178669.00
O2021_82_21_1_0005_00001868_2000_8000.tif,82-21,497020.00,6219955.00,497120.00,6220055.00
O2023_85_45_1_0026_00002357_0_3000.tif,85-45,654791.00,6144969.00,654891.00,6145069.00
O2021_82_20_1_0024_00005078_1000_8000.tif,82-20,496758.00,6219967.00,496858.00,6220067.00
O2023_85_45_1_0025_00001588_8000_5000.tif,85-45,654894.00,6144793.00,654994.00,6144893.00
O2021_82_20_1_0023_00004974_16000_5000.tif,82-20,496940.00,6220777.00,497040.00,6220877.00
O2021_82_21_1_0004_00002040_10000_7000.tif,82-21,496692.00,6220066.00,496792.00,6220166.00
O2021_82_20_1_0024_00005077_8000_1000.tif,82-20,497460.00,6220138.00,497560.00,6220238.00
O2021_82_20_1_0024_00005077_10000_1000.tif,82-20,497660.00,6220138.00,497760.00,6220238.00
O2021_82_20_1_0024_00005079_3000_9000.tif,82-20,496959.00,6220399.00,497059.00,6220499.00
O2021_82_20_1_0023_00004975_12000_2000.tif,82-20,496537.00,6220545.00,496637.00,6220645.00
O2021_82_20_1_0024_00005077_7000_1000.tif,82-20,497360.00,6220138.00,497460.00,6220238.00
O2021_82_21_1_0005_00001868_1000_6000.tif,82-21,496920.00,6220155.00,497020.00,6220255.00
O2021_82_20_1_0024_00005078_2000_6000.tif,82-20,496858.00,6220167.00,496958.00,6220267.00
O2023_85_48_1_0053_00000199_5000_5000.tif,85-48,654924.00,6144857.00,655024.00,6144957.00
O2023_85_45_1_0026_00002355_0_7000.tif,85-45,654787.00,6144953.00,654887.00,6145053.00
O2023_85_45_1_0025_00001588_6000_4000.tif,85-45,654694.00,6144893.00,654794.00,6144993.00
O2023_85_45_1_0027_00002590_4000_5000.tif,85-45,655830.00,6178760.00,655930.00,6178860.00
O2023_85_45_1_0027_00002588_8000_1000.tif,85-45,656238.00,6178844.00,656338.00,6178944.00
O2021_82_20_1_0023_00004975_13000_3000.tif,82-20,496637.00,6220445.00,496737.00,6220545.00
O2021_82_20_1_0024_00005078_3000_7000.tif,82-20,496958.00,6220067.00,497058.00,6220167.00
O2021_82_21_1_0005_00001868_0_3000.tif,82-21,496820.00,6220455.00,496920.00,6220555.00
O2021_82_20_1_0024_00005079_13000_11000.tif,82-20,497959.00,6220199.00,498059.00,6220299.00
O2023_85_48_1_0053_00000199_4000_4000.tif,85-48,654824.00,6144957.00,654924.00,6145057.00
O2021_82_21_1_0004_00002040_11000_6000.tif,82-21,496792.00,6220166.00,496892.00,6220266.00
O2021_82_20_1_0024_00005079_2000_8000.tif,82-20,496859.00,6220499.00,496959.00,6220599.00
O2021_82_20_1_0023_00004974_16000_11000.tif,82-20,496940.00,6220177.00,497040.00,6220277.00
O2021_82_20_1_0023_00004973_14000_10000.tif,82-20,496739.00,6220808.00,496839.00,6220908.00
O2021_82_20_1_0023_00004973_9000_10000.tif,82-20,496239.00,6220808.00,496339.00,6220908.00
O2021_82_20_1_0024_00005079_8000_10000.tif,82-20,497459.00,6220299.00,497559.00,6220399.00
O2023_85_48_1_0053_00000200_7000_0.tif,85-48,655123.00,6145197.00,655223.00,6145297.00
O2021_82_21_1_0005_00001869_11000_1000.tif,82-21,497919.00,6220081.00,498019.00,6220181.00
O2023_85_45_1_0028_00002925_4000_4000.tif,85-45,656382.00,6178669.00,656482.00,6178769.00
O2021_82_20_1_0024_00005077_1000_0.tif,82-20,496760.00,6220238.00,496860.00,6220338.00
O2021_82_20_1_0024_00005080_10000_11000.tif,82-20,497658.00,6220731.00,497758.00,6220831.00
O2021_82_21_1_0004_00002040_12000_8000.tif,82-21,496892.00,6219966.00,496992.00,6220066.00
O2023_85_45_1_0026_00002359_0_0.tif,85-45,654791.00,6144951.00,654891.00,6145051.00
O2021_82_20_1_0024_00005079_1000_6000.tif,82-20,496759.00,6220699.00,496859.00,6220799.00
O2021_82_20_1_0023_00004973_15000_10000.tif,82-20,496839.00,6220808.00,496939.00,6220908.00
O2021_82_20_1_0023_00004973_8000_10000.tif,82-20,496139.00,6220808.00,496239.00,6220908.00
O2021_82_20_1_0024_00005079_0_10000.tif,82-20,496659.00,6220299.00,496759.00,6220399.00
O2023_85_45_1_0028_00002924_0_5000.tif,85-45,655983.00,6178729.00,656083.00,6178829.00
O2023_85_45_1_0024_00001567_8720_5000.tif,85-45,654467.00,6145097.00,654567.00,6145197.00
O2021_82_20_1_0024_00005079_10000_3000.tif,82-20,497659.00,6220999.00,497759.00,6221099.00
O2021_82_20_1_0023_00004976_8000_0.tif,82-20,496136.00,6220212.00,496236.00,6220312.00
O2021_82_20_1_0024_00005079_12000_11000.tif,82-20,497859.00,6220199.00,497959.00,6220299.00
O2021_82_20_1_0023_00004974_16000_8000.tif,82-20,496940.00,6220477.00,497040.00,6220577.00
O2023_85_45_1_0027_00002589_8000_2000.tif,85-45,656233.00,6178902.00,656333.00,6179002.00
O2023_85_45_1_0027_00002591_4000_6000.tif,85-45,655827.00,6178821.00,655927.00,6178921.00
O2023_85_48_1_0054_00000563_0_7000.tif,85-48,655036.00,6145233.00,655136.00,6145333.00
O2023_85_48_1_0053_00000198_4000_7000.tif,85-48,654823.00,6144873.00,654923.00,6144973.00
O2023_85_45_1_0024_00001567_6000_6000.tif,85-45,654195.00,6144997.00,654295.00,6145097.00
O2021_82_20_1_0023_00004976_7000_0.tif,82-20,496036.00,6220212.00,496136.00,6220312.00
O2021_82_20_1_0024_00005079_3000_4000.tif,82-20,496959.00,6220899.00,497059.00,6220999.00
O2021_82_20_1_0023_00004975_11000_1000.tif,82-20,496437.00,6220645.00,496537.00,6220745.00
O2023_85_45_1_0027_00002590_6000_7000.tif,85-45,656030.00,6178619.00,656130.00,6178719.00
O2023_85_45_1_0028_00002926_1000_4000.tif,85-45,656085.00,6178513.00,656185.00,6178613.00
O2023_85_48_1_0052_00000184_6000_3000.tif,85-48,654416.00,6145090.00,654516.00,6145190.00
O2021_82_20_1_0024_00005078_1000_5000.tif,82-20,496758.00,6220267.00,496858.00,6220367.00
O2021_82_21_1_0005_00001868_2000_5000.tif,82-21,497020.00,6220255.00,497120.00,6220355.00
