item_id,tile,cell,fold,stratum
0001,O2021_84_40_1_0038_00060852_4000_2000.tif,unet_resnet34_rgb,0,weak_present
0002,O2021_84_40_1_0047_00073815_7000_3000.tif,convnext_upernet_rgb,0,weak_present
0003,O2021_84_40_1_0044_00082841_8080_3000.tif,unet_resnet34_rgb,0,weak_present
0004,O2021_83_25_1_0015_00003910_10030_4000.tif,convnext_upernet_rgb,1,complement
0005,O2021_84_40_1_0051_00072017_5000_0.tif,unet_resnet34_rgb,0,complement
0006,O2021_82_24_1_0021_00002048_0_4000.tif,unet_resnet34_rgb,2,weak_present
0007,O2021_82_21_1_0004_00002040_13000_3000.tif,convnext_upernet_rgb,1,weak_present
0008,O2021_83_25_1_0027_00001529_0_7000.tif,convnext_upernet_rgb,1,complement
0009,O2023_85_45_1_0026_00002354_2000_5000.tif,convnext_upernet_rgb,2,complement
0010,O2021_82_16_1_0028_00005674_10cm_1000_1000.tif,convnext_upernet_rgb,2,complement
0011,O2021_83_31_1_0041_00093557_6000_0.tif,unet_resnet34_rgb,0,complement
0012,O2021_84_40_1_0047_00073810_7000_0.tif,convnext_upernet_rgb,0,weak_present
0013,O2021_83_25_1_0026_00001209_1000_1000.tif,unet_resnet34_rgb,1,weak_present
0014,O2023_84_40_1_0125_00092547_8000_0.tif,unet_resnet34_rgb,0,complement
0015,O2021_83_25_1_0026_00001208_3000_6000.tif,unet_resnet34_rgb,1,weak_present
0016,O2023_82_24_1_0014_00000745_9000_2000.tif,convnext_upernet_rgb,2,complement
0017,O2023_82_24_1_0012_00000540_3000_6000.tif,convnext_upernet_rgb,2,weak_present
0018,O2021_83_25_1_0016_00002732_0_1000.tif,convnext_upernet_rgb,1,complement
0019,O2021_83_26_1_0013_00001596_2000_6000.tif,convnext_upernet_rgb,2,complement
0020,O2021_84_40_1_0040_00092536_2000_2000.tif,unet_resnet34_rgb,0,weak_present
0021,O2023_85_45_1_0025_00001590_2000_6000.tif,convnext_upernet_rgb,2,complement
0022,O2021_83_25_1_0024_00001858_0_1000.tif,unet_resnet34_rgb,1,complement
0023,O2021_82_13_1_0025_00144218_5000_4000.tif,convnext_upernet_rgb,1,weak_present
0024,O2021_83_26_1_0013_00001596_2000_6000.tif,unet_resnet34_rgb,2,complement
0025,O2021_83_25_1_0026_00001208_3000_6000.tif,convnext_upernet_rgb,1,weak_present
0026,O2021_82_11_1_0025_00003597_3000_3000.tif,convnext_upernet_rgb,1,complement
0027,O2023_84_40_1_0211_00112306_6000_4000.tif,convnext_upernet_rgb,0,weak_present
0028,O2023_84_40_1_0125_00092547_8000_0.tif,convnext_upernet_rgb,0,complement
0029,O2021_82_13_1_0026_00144935_5000_2000.tif,unet_resnet34_rgb,1,weak_present
0030,O2021_82_22_1_0030_00000262_8000_5000.tif,convnext_upernet_rgb,2,complement
0031,O2023_85_45_1_0025_00001590_2000_6000.tif,unet_resnet34_rgb,2,complement
0032,O2021_84_40_1_0039_00062710_0_2000.tif,unet_resnet34_rgb,0,weak_present
0033,O2023_82_24_1_0012_00000539_2000_1000.tif,convnext_upernet_rgb,2,weak_present
0034,O2021_84_40_1_0042_00090003_1000_1000.tif,unet_resnet34_rgb,0,complement
0035,O2021_83_26_1_0014_00001455_6000_2000.tif,unet_resnet34_rgb,2,complement
0036,O2021_84_40_1_0037_00084312_5000_2000.tif,unet_resnet34_rgb,0,weak_present
0037,O2021_82_24_1_0021_00002046_5000_1000.tif,unet_resnet34_rgb,2,weak_present
0038,O2021_82_20_1_0024_00005078_6000_1000.tif,unet_resnet34_rgb,2,weak_present
0039,O2021_83_25_1_0025_00001595_10000_7000.tif,unet_resnet34_rgb,1,weak_present
0040,O2023_84_40_1_0211_00112306_3000_1000.tif,unet_resnet34_rgb,0,weak_present
0041,O2021_82_24_1_0023_00001726_10cm_7000_1000.tif,unet_resnet34_rgb,2,complement
0042,O2021_82_20_1_0024_00005078_4000_4000.tif,unet_resnet34_rgb,2,weak_present
0043,O2023_84_40_1_0140_00060503_8710_2000.tif,unet_resnet34_rgb,0,complement
0044,O2023_82_24_1_0012_00000542_1000_6000.tif,convnext_upernet_rgb,2,weak_present
0045,O2021_82_22_1_0030_00000259_5000_5000.tif,unet_resnet34_rgb,2,complement
0046,O2021_82_11_1_0023_00003029_8000_2000.tif,convnext_upernet_rgb,1,complement
0047,O2021_84_40_1_0044_00082852_6000_1000.tif,unet_resnet34_rgb,0,complement
0048,O2023_82_24_1_0011_00000395_16960_1000.tif,unet_resnet34_rgb,2,complement
0049,O2023_82_24_1_0012_00000537_6000_3000.tif,unet_resnet34_rgb,2,complement
0050,O2023_82_24_1_0011_00000390_7000_5000.tif,unet_resnet34_rgb,2,weak_present
0051,O2021_82_13_1_0025_00144223_5000_0.tif,convnext_upernet_rgb,1,weak_present
0052,O2023_84_40_1_0151_00104027_3000_2000.tif,unet_resnet34_rgb,0,complement
0053,O2023_84_40_1_0151_00104027_3000_2000.tif,convnext_upernet_rgb,0,complement
0054,O2023_85_45_1_0026_00002354_2000_5000.tif,unet_resnet34_rgb,2,complement
0055,O2021_84_40_1_0042_00090003_1000_1000.tif,convnext_upernet_rgb,0,complement
0056,O2021_83_25_1_0015_00003910_7000_3000.tif,unet_resnet34_rgb,1,complement
0057,O2023_82_24_1_0012_00000541_0_11000.tif,unet_resnet34_rgb,2,weak_present
0058,O2023_82_24_1_0012_00000541_0_11000.tif,convnext_upernet_rgb,2,weak_present
0059,O2021_82_13_1_0024_00141749_5000_1000.tif,unet_resnet34_rgb,1,complement
0060,O2021_84_40_1_0039_00062715_6000_0.tif,convnext_upernet_rgb,0,complement
0061,O2021_82_24_1_0021_00002046_5000_1000.tif,convnext_upernet_rgb,2,weak_present
0062,O2023_82_24_1_0012_00000539_3000_0.tif,unet_resnet34_rgb,2,weak_present
0063,O2021_84_40_1_0038_00060852_0_5000.tif,unet_resnet34_rgb,0,weak_present
0064,O2021_83_25_1_0015_00003912_10000_4000.tif,unet_resnet34_rgb,1,complement
0065,O2021_82_20_1_0024_00005078_6000_1000.tif,convnext_upernet_rgb,2,weak_present
0066,O2021_82_19_1_0023_00005474_7000_4000.tif,unet_resnet34_rgb,2,complement
0067,O2021_82_21_1_0004_00002039_15000_0.tif,unet_resnet34_rgb,1,complement
0068,O2023_84_40_1_0146_00110505_2000_2000.tif,unet_resnet34_rgb,0,complement
0069,O2021_82_13_1_0025_00144232_5000_2000.tif,convnext_upernet_rgb,1,weak_present
0070,O2021_84_40_1_0047_00073810_7000_0.tif,unet_resnet34_rgb,0,weak_present
0071,O2021_83_31_1_0042_00092144_2000_2000.tif,unet_resnet34_rgb,0,complement
0072,O2023_84_40_1_0206_00115134_2000_5000.tif,unet_resnet34_rgb,0,complement
0073,O2023_85_48_1_0052_00000184_3000_3000.tif,unet_resnet34_rgb,0,complement
0074,O2021_83_26_1_0014_00001455_6000_2000.tif,convnext_upernet_rgb,2,complement
0075,O2021_84_40_1_0047_00073818_6000_5000.tif,unet_resnet34_rgb,0,weak_present
0076,O2023_82_24_1_0011_00000395_16960_1000.tif,convnext_upernet_rgb,2,complement
0077,O2021_82_24_1_0021_00002048_0_4000.tif,convnext_upernet_rgb,2,weak_present
0078,O2021_83_25_1_0026_00001208_4000_3000.tif,unet_resnet34_rgb,1,weak_present
0079,O2021_84_40_1_0047_00073815_7000_3000.tif,unet_resnet34_rgb,0,weak_present
0080,O2021_82_11_1_0025_00003597_3000_3000.tif,unet_resnet34_rgb,1,complement
