pass2_id,item_id,tile,cell,fold
R001,0164,O2021_82_24_1_0021_00002047_2000_0.tif,convnext_upernet_rgb,2
R002,0161,O2021_82_19_1_0023_00005470_3000_2000.tif,convnext_upernet_rgb,2
R003,0153,O2021_83_25_1_0023_00001887_3000_3000.tif,unet_resnet34_rgb,1
R004,0168,O2021_82_24_1_0021_00002047_2000_0.tif,unet_resnet34_rgb,2
R005,0192,O2023_84_40_1_0211_00112309_5000_3000.tif,convnext_upernet_rgb,0
R006,0122,O2021_82_19_1_0023_00005470_3000_2000.tif,unet_resnet34_rgb,2
R007,0182,O2021_82_13_1_0024_00141805_8160_2000.tif,unet_resnet34_rgb,1
R008,0057,O2023_82_24_1_0012_00000541_0_11000.tif,unet_resnet34_rgb,2
R009,0058,O2023_82_24_1_0012_00000541_0_11000.tif,convnext_upernet_rgb,2
R010,0099,O2023_82_24_1_0012_00000539_2000_1000.tif,unet_resnet34_rgb,2
R011,0024,O2021_83_26_1_0013_00001596_2000_6000.tif,unet_resnet34_rgb,2
R012,0185,O2021_84_40_1_0039_00062710_0_2000.tif,convnext_upernet_rgb,0
R013,0002,O2021_84_40_1_0047_00073815_7000_3000.tif,convnext_upernet_rgb,0
R014,0079,O2021_84_40_1_0047_00073815_7000_3000.tif,unet_resnet34_rgb,0
R015,0004,O2021_83_25_1_0015_00003910_10030_4000.tif,convnext_upernet_rgb,1
R016,0033,O2023_82_24_1_0012_00000539_2000_1000.tif,convnext_upernet_rgb,2
R017,0049,O2023_82_24_1_0012_00000537_6000_3000.tif,unet_resnet34_rgb,2
R018,0124,O2021_83_25_1_0023_00001887_3000_3000.tif,convnext_upernet_rgb,1
R019,0151,O2023_84_40_1_0211_00112309_5000_3000.tif,unet_resnet34_rgb,0
R020,0141,O2021_83_25_1_0015_00003910_10030_4000.tif,unet_resnet34_rgb,1
R021,0169,O2021_82_13_1_0024_00141805_8160_2000.tif,convnext_upernet_rgb,1
R022,0032,O2021_84_40_1_0039_00062710_0_2000.tif,unet_resnet34_rgb,0
R023,0019,O2021_83_26_1_0013_00001596_2000_6000.tif,convnext_upernet_rgb,2
R024,0097,O2023_82_24_1_0012_00000537_6000_3000.tif,convnext_upernet_rgb,2
