pass2_id,item_id,tile,cell,fold
S001,0063,O2021_84_40_1_0038_00060852_0_5000.tif,unet_resnet34_rgb,0
S002,0024,O2021_83_26_1_0013_00001596_2000_6000.tif,unet_resnet34_rgb,2
S003,0192,O2023_84_40_1_0211_00112309_5000_3000.tif,convnext_upernet_rgb,0
S004,0058,O2023_82_24_1_0012_00000541_0_11000.tif,convnext_upernet_rgb,2
S005,0097,O2023_82_24_1_0012_00000537_6000_3000.tif,convnext_upernet_rgb,2
S006,0141,O2021_83_25_1_0015_00003910_10030_4000.tif,unet_resnet34_rgb,1
S007,0019,O2021_83_26_1_0013_00001596_2000_6000.tif,convnext_upernet_rgb,2
S008,0122,O2021_82_19_1_0023_00005470_3000_2000.tif,unet_resnet34_rgb,2
S009,0161,O2021_82_19_1_0023_00005470_3000_2000.tif,convnext_upernet_rgb,2
S010,0057,O2023_82_24_1_0012_00000541_0_11000.tif,unet_resnet34_rgb,2
S011,0182,O2021_82_13_1_0024_00141805_8160_2000.tif,unet_resnet34_rgb,1
S012,0147,O2021_84_40_1_0038_00060852_0_5000.tif,convnext_upernet_rgb,0
S013,0049,O2023_82_24_1_0012_00000537_6000_3000.tif,unet_resnet34_rgb,2
S014,0004,O2021_83_25_1_0015_00003910_10030_4000.tif,convnext_upernet_rgb,1
S015,0169,O2021_82_13_1_0024_00141805_8160_2000.tif,convnext_upernet_rgb,1
S016,0151,O2023_84_40_1_0211_00112309_5000_3000.tif,unet_resnet34_rgb,0
