item_id,m1_speckle,m2_boundary_bleed,m3_spurious_patch,m4_paved_swap,m5_road_continuation,m6_veg_occlusion,m7_misregistration,m8_large_object,m9_other,dominant_mode,note
0001,0,1,1,0,0,0,0,1,1,m2_boundary_bleed,[unannot] prediction paints fliser wholesale across roofs and unannotated ground over most of the tile
0002,0,1,1,0,1,0,0,0,1,m2_boundary_bleed,[label] prediction paints water as unpaved
0003,0,1,1,1,0,0,0,0,1,m2_boundary_bleed,"[label] predictions actually get ubefaestet right here, but the annotations is done improperly"
0004,0,0,0,0,0,0,0,0,0,none,
0005,0,1,1,0,0,1,0,0,0,m6_veg_occlusion,
0006,0,0,0,0,0,0,0,0,0,not_assessable,[mismatch]
0007,0,1,1,0,1,1,0,0,0,m2_boundary_bleed,
0008,0,0,0,0,0,0,0,0,0,none,
0009,0,0,0,0,0,0,0,0,0,none,
0010,0,0,0,0,0,0,0,0,0,none,
0011,0,0,0,0,0,0,0,0,0,none,
0012,0,1,1,1,0,0,0,0,0,m4_paved_swap,
0013,0,1,1,0,0,0,0,1,1,m2_boundary_bleed,"predicts solceller instead of drivhus, but also predicts brosten at random places"
0014,0,1,1,0,1,1,0,0,0,m6_veg_occlusion,
0015,1,1,1,1,0,0,0,0,0,m2_boundary_bleed,
0016,0,0,1,0,0,0,0,0,1,m9_other,"[miss] missed prediction, completely missed a whole category here"
0017,1,1,1,1,1,0,0,0,0,m2_boundary_bleed,
0018,0,0,0,0,0,0,0,0,0,none,
0019,0,0,0,0,0,0,0,0,0,none,
0020,1,1,1,1,0,1,0,0,0,m2_boundary_bleed,
0021,1,1,0,1,0,0,0,0,0,m2_boundary_bleed,
0022,0,0,1,0,0,0,0,0,0,m3_spurious_patch,
0023,0,0,0,0,0,0,0,0,1,m9_other,"[miss] missed prediction, completely for category ""betonflade"""
0024,0,0,0,0,0,0,0,0,0,none,
0025,0,1,1,1,1,1,0,0,0,m2_boundary_bleed,
0026,0,0,0,0,0,0,0,0,0,none,
0027,0,1,1,1,1,0,0,0,0,m3_spurious_patch,
0028,0,0,0,0,1,1,0,0,0,m6_veg_occlusion,
0029,1,0,1,1,0,0,0,0,0,m1_speckle,
0030,0,0,0,1,0,1,0,0,1,m6_veg_occlusion,"[miss] missed prediction, completely because it was dominated by canopy"
0031,0,0,1,1,0,0,0,0,0,m3_spurious_patch,
