item_id,m1_speckle,m2_boundary_bleed,m3_spurious_patch,m4_paved_swap,m5_road_continuation,m6_veg_occlusion,m7_misregistration,m8_large_object,m9_other,dominant_mode,note
R001,0,1,1,1,1,0,0,0,0,m5_road_continuation,
R002,0,1,1,0,1,0,0,0,0,m2_boundary_bleed,
R003,0,0,0,0,0,0,0,0,0,none,
R004,1,0,1,1,1,0,0,0,0,m1_speckle,
R005,0,1,0,0,1,0,0,0,0,m5_road_continuation,
R006,1,1,1,1,1,0,0,0,0,m3_spurious_patch,
R007,0,0,0,1,1,0,0,0,0,m4_paved_swap,
R008,1,0,0,0,0,0,0,0,1,m1_speckle,"[miss], missed prediction"
R009,0,0,1,0,0,0,0,0,1,m3_spurious_patch,"[miss], missed prediction"
R010,1,1,1,1,1,0,0,0,1,m4_paved_swap,"[miss], missed prediction"
R011,0,0,0,0,0,0,0,0,0,none,
R012,0,1,1,1,1,0,0,0,0,m2_boundary_bleed,
R013,0,1,1,1,1,0,0,0,0,m5_road_continuation,
R014,1,0,1,1,1,0,0,0,0,m1_speckle,
R015,0,0,0,0,0,0,0,0,0,none,
R016,0,1,1,1,1,0,0,0,0,m3_spurious_patch,
R017,0,1,1,0,1,0,0,0,0,m5_road_continuation,
R018,0,0,0,0,0,0,0,0,0,none,
R019,0,1,1,0,1,0,0,0,0,m5_road_continuation,
R020,0,0,0,0,0,0,0,0,0,none,
R021,0,0,1,1,1,0,0,0,0,m5_road_continuation,
R022,0,0,1,0,1,0,0,0,0,m3_spurious_patch,
R023,0,0,0,0,0,0,0,0,0,none,
R024,0,0,0,1,1,0,0,0,0,m5_road_continuation,
