cell,class,index,boundary_iou,mask_iou_sampled,boundary_intersection_px,boundary_union_px,mask_intersection_px,mask_union_px,tiles_scored,d_px
unet_resnet34_rgb,asfalt,1,0.3305153438445864,0.5039183706462889,23464253,70992931,61716445,122473100,1800,28
unet_resnet34_rgb,fliser,2,0.1565840634324835,0.1603000158980967,5400934,34492233,6697108,41778586,1800,28
unet_resnet34_rgb,grus,3,0.12911559413242857,0.13472368964255335,4589334,35544382,7552128,56056422,1800,28
unet_resnet34_rgb,ubefestet,4,0.604211202506231,0.928169934443193,60714495,100485550,943188344,1016180668,1800,28
unet_resnet34_rgb,green_roof,5,0.0,0.0,0,42457,0,42658,1800,28
unet_resnet34_rgb,drivhus,6,0.07715996310828344,0.07715815389425143,9872,127942,9872,127945,1800,28
unet_resnet34_rgb,betonflade,7,0.003771206797696261,0.022461593980015803,9820,2603941,249096,11089863,1800,28
unet_resnet34_rgb,brosten,8,0.008279268325307496,0.006831183258453402,71490,8634821,97207,14229892,1800,28
unet_resnet34_rgb,solceller,10,0.8136752745649132,0.5940161429110196,3540651,4351430,3573831,6016387,1800,28
convnext_upernet_rgb,asfalt,1,0.4237180890288619,0.5658745187522074,23837467,56257846,62165496,109857387,1800,28
convnext_upernet_rgb,fliser,2,0.28356772497182364,0.26960089894476175,7106968,25062683,9150079,33939349,1800,28
convnext_upernet_rgb,grus,3,0.1898106902495611,0.21649974677156647,3287416,17319446,5318268,24564777,1800,28
convnext_upernet_rgb,ubefestet,4,0.6436817689501229,0.9535018487330703,60898830,94610152,978652572,1026377215,1800,28
convnext_upernet_rgb,green_roof,5,0.0,0.0,0,41166,0,41367,1800,28
convnext_upernet_rgb,drivhus,6,0.2529996129531673,0.2529379729419858,17649,69759,17649,69776,1800,28
convnext_upernet_rgb,betonflade,7,0.03677553915301223,0.19951614207000226,146895,3994367,2645932,13261744,1800,28
convnext_upernet_rgb,brosten,8,0.10175929827704072,0.10359294532435441,754395,7413524,1291290,12465038,1800,28
convnext_upernet_rgb,solceller,10,0.6541674972266133,0.703197696445016,3669007,5608666,4649572,6612041,1800,28
convnext_upernet_rgb_ndsm,asfalt,1,0.4511897084966839,0.5871070460255525,24894879,55176079,66076067,112545178,1800,28
convnext_upernet_rgb_ndsm,fliser,2,0.30862271655979523,0.3012311086591857,7392897,23954481,9409595,31237129,1800,28
convnext_upernet_rgb_ndsm,grus,3,0.17210839005580061,0.1963370739778253,2938363,17072747,4744485,24164998,1800,28
convnext_upernet_rgb_ndsm,ubefestet,4,0.6563051425561326,0.9562581753103491,60797875,92636597,977280687,1021984138,1800,28
convnext_upernet_rgb_ndsm,green_roof,5,0.0,0.0,0,49094,0,49669,1800,28
convnext_upernet_rgb_ndsm,drivhus,6,0.26055593557614576,0.26055593557614576,16760,64324,16760,64324,1800,28
convnext_upernet_rgb_ndsm,betonflade,7,0.0355005326484356,0.23716534516163812,118802,3346485,3103896,13087477,1800,28
convnext_upernet_rgb_ndsm,brosten,8,0.13392915817032616,0.14853903347296754,1096459,8186858,2002410,13480699,1800,28
convnext_upernet_rgb_ndsm,solceller,10,0.5940564271032327,0.744173945089368,3536349,5952884,5048290,6783750,1800,28
convnext_upernet_6ch_corrected,asfalt,1,0.41811393064192737,0.5299385081393099,21722623,51953837,51611467,97391426,1800,28
convnext_upernet_6ch_corrected,fliser,2,0.2712380608206773,0.2577120593615304,6914121,25490969,8924665,34630374,1800,28
convnext_upernet_6ch_corrected,grus,3,0.15853374074219106,0.18904919156269387,3088993,19484767,5069086,26813582,1800,28
convnext_upernet_6ch_corrected,ubefestet,4,0.6127618355507232,0.9436482218928705,59116146,96474915,986625025,1045543246,1800,28
convnext_upernet_6ch_corrected,green_roof,5,0.0,0.0,0,38136,0,38337,1800,28
convnext_upernet_6ch_corrected,drivhus,6,0.22201509327230887,0.22175280898876404,17269,77783,17269,77875,1800,28
convnext_upernet_6ch_corrected,betonflade,7,0.010267222109327373,0.0032961142667362136,24252,2362080,36582,11098523,1800,28
convnext_upernet_6ch_corrected,brosten,8,0.029241695939777653,0.028698412596217415,197954,6769580,356596,12425635,1800,28
convnext_upernet_6ch_corrected,solceller,10,0.7159542183440942,0.5991167603742903,3526033,4924942,3903852,6516012,1800,28
