point,train_tiles,train_pct_of_fold0_pool,scope,class,metric,value,support_pixels
lc25,3222,25.0,aggregate,MACRO,macro_iou,0.28063358530200316,3084826556
lc25,3222,25.0,aggregate,OVERALL,overall_accuracy,0.8525072697798702,3084826556
lc25,3222,25.0,per_class,asfalt,iou,0.5166370276731191,399266753
lc25,3222,25.0,per_class,fliser,iou,0.12843212317608677,73274814
lc25,3222,25.0,per_class,grus,iou,0.1614603561885944,102332800
lc25,3222,25.0,per_class,ubefestet,iou,0.9295497467715453,2326930830
lc25,3222,25.0,per_class,green_roof,iou,0.0,1177456
lc25,3222,25.0,per_class,drivhus,iou,0.02844138615356407,129082
lc25,3222,25.0,per_class,betonflade,iou,0.0,67320009
lc25,3222,25.0,per_class,brosten,iou,0.0,104860605
lc25,3222,25.0,per_class,solceller,iou,0.7611816277551188,9534207
lc50,6444,50.1,aggregate,MACRO,macro_iou,0.2979212722623279,3084826556
lc50,6444,50.1,aggregate,OVERALL,overall_accuracy,0.8656673325137182,3084826556
lc50,6444,50.1,per_class,asfalt,iou,0.5353705874221493,399266753
lc50,6444,50.1,per_class,fliser,iou,0.11936985747731385,73274814
lc50,6444,50.1,per_class,grus,iou,0.19534225834044,102332800
lc50,6444,50.1,per_class,ubefestet,iou,0.9434856586025974,2326930830
lc50,6444,50.1,per_class,green_roof,iou,0.0,1177456
lc50,6444,50.1,per_class,drivhus,iou,0.025497417235632962,129082
lc50,6444,50.1,per_class,betonflade,iou,0.0019371874689275456,67320009
lc50,6444,50.1,per_class,brosten,iou,0.0,104860605
lc50,6444,50.1,per_class,solceller,iou,0.8602884838138899,9534207
lc75,9245,71.8,aggregate,MACRO,macro_iou,0.31104527447840824,3084826556
lc75,9245,71.8,aggregate,OVERALL,overall_accuracy,0.868889674457276,3084826556
lc75,9245,71.8,per_class,asfalt,iou,0.5507136340453026,399266753
lc75,9245,71.8,per_class,fliser,iou,0.15526325039133332,73274814
lc75,9245,71.8,per_class,grus,iou,0.19495520689625295,102332800
lc75,9245,71.8,per_class,ubefestet,iou,0.9459990254921703,2326930830
lc75,9245,71.8,per_class,green_roof,iou,0.0,1177456
lc75,9245,71.8,per_class,drivhus,iou,0.05421086476684838,129082
lc75,9245,71.8,per_class,betonflade,iou,0.010634416200394625,67320009
lc75,9245,71.8,per_class,brosten,iou,0.0,104860605
lc75,9245,71.8,per_class,solceller,iou,0.8876310725133717,9534207
lc100,12875,100.0,aggregate,MACRO,macro_iou,0.32918725623407213,3084826556
lc100,12875,100.0,aggregate,OVERALL,overall_accuracy,0.8719523280063465,3084826556
lc100,12875,100.0,per_class,asfalt,iou,0.5568407180944763,399266753
lc100,12875,100.0,per_class,fliser,iou,0.15957061403299633,73274814
lc100,12875,100.0,per_class,grus,iou,0.2959531426674648,102332800
lc100,12875,100.0,per_class,ubefestet,iou,0.9465293078821582,2326930830
lc100,12875,100.0,per_class,green_roof,iou,0.0,1177456
lc100,12875,100.0,per_class,drivhus,iou,0.06736384308269666,129082
lc100,12875,100.0,per_class,betonflade,iou,0.035401350563111764,67320009
lc100,12875,100.0,per_class,brosten,iou,0.0,104860605
lc100,12875,100.0,per_class,solceller,iou,0.9010263297837452,9534207
