cell,sealed_as_sealed,sealed_as_unsealed,unsealed_as_sealed,unsealed_as_unsealed,predicted_unknown_pixels,evaluated_pixels,macro_iou,overall_accuracy,freq_weighted_iou
convnext_upernet_10ch,1226915504,300629358,67644511,10599444408,0,12194633781,0.8677783592940507,0.9698003338506325,0.9417090785308709
convnext_upernet_10ch_unw,1172584753,354960109,72174517,10594914402,0,12194633781,0.8471206433685545,0.9649735585610203,0.9326554153148849
convnext_upernet_6ch,1170783167,356761695,129682062,10537406857,0,12194633781,0.8311723806111233,0.9601100151315811,0.9246324672536658
convnext_upernet_6ch_corrected,1011939687,515605175,66974210,10600114709,0,12194633781,0.7912698936496223,0.9522265780619263,0.908662481179979
convnext_upernet_6ch_unw,1161967654,365577208,123841267,10543247652,0,12194633781,0.8296354312154351,0.9598660784908076,0.9240717658193273
convnext_upernet_rgb,1187285233,340259629,120133398,10546955521,0,12194633781,0.8393773891265753,0.9622462605053936,0.9284122183144692
convnext_upernet_rgb_ndsm,1218978749,308566113,147820686,10519268233,0,12194633781,0.8430039912999463,0.9625747843521895,0.9295038273402015
convnext_upernet_rgb_unw,1161940340,365604522,149172451,10517916468,0,12194633781,0.8231630025014854,0.9577865984133075,0.920727674726073
segformer_b1_10ch,1212887449,314657413,129558168,10537530751,0,12194633781,0.8457410359763444,0.9635728641812831,0.931037468722008
segformer_b1_10ch_unw,1231172512,296372350,144039026,10523049893,0,12194633781,0.8481798318637501,0.9638848214789206,0.9318579506318795
segformer_b1_6ch,1014113647,513431215,107073421,10560015498,0,12194633781,0.7824495549102424,0.9491165829869541,0.9039028795837202
segformer_b1_6ch_unw,1024675885,502868977,95830567,10571258352,0,12194633781,0.7888008613257613,0.9509046721080865,0.9069177840962381
segformer_b1_rgb,1259587094,267957768,189748062,10477340857,0,12194633781,0.8458078489117373,0.9624666194803542,0.930000134052472
segformer_b1_rgb_unw,1224974510,302570352,255718147,10411370772,0,12194633781,0.8180174025144653,0.9542185104508961,0.9162648078893377
swin_upernet_10ch,1215344648,312200214,133689572,10533399347,0,12194633781,0.8454896969253376,0.9634355738755579,0.9308534312445076
swin_upernet_10ch_unw,1146605223,380939639,105883636,10561205283,0,12194633781,0.8289490160187047,0.9600788934097799,0.9241220830949064
swin_upernet_6ch,1111772769,415772093,127070364,10540018555,0,12194633781,0.8114709429437856,0.9554851365978876,0.9160588741201249
swin_upernet_6ch_unw,1152184221,375360641,114951853,10552137066,0,12194633781,0.8285404566731336,0.9597927659981116,0.9237662224186954
swin_upernet_rgb,1184628468,342916394,279455189,10387633730,0,12194633781,0.799524810839725,0.9489634872045364,0.907409422944514
swin_upernet_rgb_unw,1215655331,311889531,195703905,10471385014,0,12194633781,0.829605344141052,0.9583756720278995,0.922660946183616
unet_resnet34_10ch,1076835786,450709076,241069008,10426019911,0,12194633781,0.773318015588044,0.943271926289592,0.8965758347192962
unet_resnet34_10ch_unw,1124900739,402642183,197013996,10470074916,1947,12194633781,0.799056191033411,0.9508260652374567,0.909058541975232
unet_resnet34_6ch,1149045575,378499287,311929881,10355159038,0,12194633781,0.7810761877851633,0.9433825418295274,0.8983061294467451
unet_resnet34_6ch_corrected,1117273404,410271458,440852590,10226236329,0,12194633781,0.7453855195758112,0.9302050341744494,0.8786267054889357
unet_resnet34_6ch_unw,1163161230,364383632,276918003,10390170916,0,12194633781,0.793234328034859,0.9474111608009756,0.9046298309690062
unet_resnet34_rgb,1265931076,261613786,514627334,10152461585,0,12194633781,0.7744333191245737,0.9363456800802471,0.8902560186043111
unet_resnet34_rgb_unw,1266351891,261192971,468596699,10198492220,0,12194633781,0.7838099665294667,0.9401548514612175,0.8957887630887724
