cell,class,index,support_pixels,predicted_pixels,present,in_macro,iou,precision,recall,f1
convnext_upernet_10ch,asfalt,1,818756115,834656051,True,True,0.5847095644868506,0.7309103327880864,0.7451043367169233,0.7379390868713374
convnext_upernet_10ch,fliser,2,231902162,190783528,True,True,0.23945572920376376,0.428026721468323,0.3521331896853985,0.3863885148323805
convnext_upernet_10ch,grus,3,206716845,139893361,True,True,0.2519705258840174,0.4986546573857783,0.3374590783832832,0.4025183032261895
convnext_upernet_10ch,ubefestet,4,10667088919,10900073766,True,True,0.9664220159837353,0.9724195116057163,0.9936585781262671,0.9829243246142834
convnext_upernet_10ch,green_roof,5,1430413,116110,True,True,0.0024170433641821265,0.032116096804754114,0.0026069393944266445,0.004822430704231363
convnext_upernet_10ch,drivhus,6,531496,419905,True,True,0.19742969481559047,0.3735725938009788,0.2951386275719855,0.32975580223270734
convnext_upernet_10ch,betonflade,7,89260373,51279112,True,True,0.10041007847156849,0.2500809491396809,0.14366878121829044,0.18249574487909928
convnext_upernet_10ch,brosten,8,120321684,5894654,True,True,0.0174673630337304,0.3675903623859857,0.018008541170351305,0.03433498442967027
convnext_upernet_10ch,unknown2,9,0,0,False,False,,,,
convnext_upernet_10ch,solceller,10,58625774,71517294,True,True,0.7416925772014069,0.774929865215538,0.9453331396528769,0.8516917243721348
convnext_upernet_10ch_unw,asfalt,1,818756115,873919242,True,True,0.5709083693793778,0.7039112819992125,0.7513368178019654,0.726851267085588
convnext_upernet_10ch_unw,fliser,2,231902162,136279818,True,True,0.22326727023452697,0.49309964590648336,0.2897753493130435,0.3650343235157788
convnext_upernet_10ch_unw,grus,3,206716845,121388188,True,True,0.2694344855937085,0.5736927385389425,0.3368836342292279,0.42449529873563385
convnext_upernet_10ch_unw,ubefestet,4,10667088919,10949874511,True,True,0.9612472576637136,0.9675831801868218,0.9932339068748697,0.9802407665913325
convnext_upernet_10ch_unw,green_roof,5,1430413,4462,True,True,0.0006681000364735198,0.21470192738682206,0.0006697366424941607,0.0013353079536544995
convnext_upernet_10ch_unw,drivhus,6,531496,139418,True,True,0.11694460676345875,0.5038445537878896,0.13216468233062903,0.20940090682263302
convnext_upernet_10ch_unw,betonflade,7,89260373,39277042,True,True,0.08639151638110451,0.26024088066509693,0.11451321181460893,0.15904306150858877
convnext_upernet_10ch_unw,brosten,8,120321684,8552306,True,True,0.02582411355326336,0.3793451731030204,0.026963352673820624,0.05034803376538586
convnext_upernet_10ch_unw,unknown2,9,0,0,False,False,,,,
convnext_upernet_10ch_unw,solceller,10,58625774,65198794,True,True,0.721307972311735,0.795846683912589,0.8850756324342942,0.8380928734594899
convnext_upernet_6ch,asfalt,1,818756115,829854054,True,True,0.528788615551776,0.6871489875254619,0.6964630401569581,0.6917746641656194
convnext_upernet_6ch,fliser,2,231902162,165150100,True,True,0.20319029885719178,0.4060107017797749,0.2891422288680517,0.3377525551031869
convnext_upernet_6ch,grus,3,206716845,163696713,True,True,0.20184735996635159,0.3800324445121876,0.3009433604697285,0.3358951672065956
convnext_upernet_6ch,ubefestet,4,10667088919,10894168552,True,True,0.9558735169739846,0.9672520492686425,0.987842787944796,0.977438989462731
convnext_upernet_6ch,green_roof,5,1430413,68245,True,True,0.0,0.0,0.0,0.0
convnext_upernet_6ch,drivhus,6,531496,353567,True,True,0.19828028556303656,0.4142128648884087,0.27554675858331956,0.33094141321013304
