macro_iou_a,macro_iou_b,difference,ci_low,ci_high,excludes_zero,B,n_resamples_valid,seed,ci,unit,cell_a,cell_b,test
0.3625495330327985,0.35864188131114566,0.0039076517216528606,-0.005003725908777588,0.01843435351321603,False,10000,10000,20260825,0.95,route (paired: same resample applied to both cells),convnext_upernet_rgb_ndsm,convnext_upernet_rgb,"NONE -- descriptive, outside every family"
0.31104006631493875,0.3374343528628417,-0.026394286547902934,-0.06613526432661505,0.042331735164679106,False,10000,10000,20260825,0.95,route (paired: same resample applied to both cells),convnext_upernet_6ch_corrected,convnext_upernet_6ch,"NONE -- descriptive, outside every family"
0.31104006631493875,0.35864188131114566,-0.047601814996206915,-0.07387114233032886,0.01655306571074646,False,10000,10000,20260825,0.95,route (paired: same resample applied to both cells),convnext_upernet_6ch_corrected,convnext_upernet_rgb,"NONE -- descriptive, outside every family"
0.2955358483633255,0.2955746394481357,-3.8791084810196885e-05,-0.025361682408891494,0.04559596986947039,False,10000,10000,20260825,0.95,route (paired: same resample applied to both cells),swin_upernet_6ch_corrected,swin_upernet_6ch,"NONE -- descriptive, outside every family"
0.2955358483633255,0.29817191814481103,-0.002636069781485506,-0.03755802730380165,0.05561068299946097,False,10000,10000,20260825,0.95,route (paired: same resample applied to both cells),swin_upernet_6ch_corrected,swin_upernet_rgb,"NONE -- descriptive, outside every family"
0.2638026286201338,0.268705916556842,-0.004903287936708189,-0.029343064101764876,0.012186669977418078,False,10000,10000,20260825,0.95,route (paired: same resample applied to both cells),segformer_b1_6ch_corrected,segformer_b1_6ch,"NONE -- descriptive, outside every family"
0.2638026286201338,0.2975586407422794,-0.03375601212214557,-0.0510763545088231,0.00865456510366591,False,10000,10000,20260825,0.95,route (paired: same resample applied to both cells),segformer_b1_6ch_corrected,segformer_b1_rgb,"NONE -- descriptive, outside every family"
0.20251861006969976,0.24769933999388602,-0.04518072992418626,-0.075815198882962,-0.0031550003468298164,True,10000,10000,20260825,0.95,route (paired: same resample applied to both cells),unet_resnet34_6ch_corrected,unet_resnet34_6ch,"NONE -- descriptive, outside every family"
0.20251861006969976,0.2694505591767507,-0.06693194910705094,-0.10307770380307188,-0.0009313319462603893,True,10000,10000,20260825,0.95,route (paired: same resample applied to both cells),unet_resnet34_6ch_corrected,unet_resnet34_rgb,"NONE -- descriptive, outside every family"
0.3574001520930216,0.35864188131114566,-0.0012417292181240436,-0.03455077481766866,0.07362937581125363,False,10000,10000,20260825,0.95,route (paired: same resample applied to both cells),convnext_upernet_ortorgb,convnext_upernet_rgb,"NONE -- descriptive, outside every family"
0.3478753007832526,0.29817191814481103,0.04970338263844154,0.01514388694846057,0.10648113074170246,True,10000,10000,20260825,0.95,route (paired: same resample applied to both cells),swin_upernet_ortorgb,swin_upernet_rgb,"NONE -- descriptive, outside every family"
0.3103476498159518,0.2975586407422794,0.01278900907367242,-0.0004722053113433449,0.047368332485358586,False,10000,10000,20260825,0.95,route (paired: same resample applied to both cells),segformer_b1_ortorgb,segformer_b1_rgb,"NONE -- descriptive, outside every family"
0.29615716542841247,0.2694505591767507,0.02670660625166177,-0.0008560371513502998,0.08088469737951508,False,10000,10000,20260825,0.95,route (paired: same resample applied to both cells),unet_resnet34_ortorgb,unet_resnet34_rgb,"NONE -- descriptive, outside every family"
0.35086823540900053,0.31104006631493875,0.03982816909406178,0.007439307921138539,0.07654796485359312,True,10000,10000,20260825,0.95,route (paired: same resample applied to both cells),convnext_upernet_rgb_dsm_dtm_corrected,convnext_upernet_6ch_corrected,"NONE -- descriptive, outside every family"
0.35086823540900053,0.35864188131114566,-0.007773645902145132,-0.0248828639993451,0.04396998296606077,False,10000,10000,20260825,0.95,route (paired: same resample applied to both cells),convnext_upernet_rgb_dsm_dtm_corrected,convnext_upernet_rgb,"NONE -- descriptive, outside every family"
0.2990359515244204,0.2955358483633255,0.003500103161094892,-0.03606053656382575,0.033240834631662594,False,10000,10000,20260825,0.95,route (paired: same resample applied to both cells),swin_upernet_rgb_dsm_dtm_corrected,swin_upernet_6ch_corrected,"NONE -- descriptive, outside every family"
0.2990359515244204,0.29817191814481103,0.0008640333796093858,-0.026165450644798704,0.03140955325834976,False,10000,10000,20260825,0.95,route (paired: same resample applied to both cells),swin_upernet_rgb_dsm_dtm_corrected,swin_upernet_rgb,"NONE -- descriptive, outside every family"
0.2925815519403373,0.2638026286201338,0.028778923320203487,0.002773874695877657,0.046766176812649926,True,10000,10000,20260825,0.95,route (paired: same resample applied to both cells),segformer_b1_rgb_dsm_dtm_corrected,segformer_b1_6ch_corrected,"NONE -- descriptive, outside every family"
0.2925815519403373,0.2975586407422794,-0.004977088801942087,-0.01789963208874761,0.023955654678803926,False,10000,10000,20260825,0.95,route (paired: same resample applied to both cells),segformer_b1_rgb_dsm_dtm_corrected,segformer_b1_rgb,"NONE -- descriptive, outside every family"
0.20957188533010548,0.20251861006969976,0.0070532752604057225,-0.029405180897220957,0.029748097387981755,False,10000,10000,20260825,0.95,route (paired: same resample applied to both cells),unet_resnet34_rgb_dsm_dtm_corrected,unet_resnet34_6ch_corrected,"NONE -- descriptive, outside every family"
0.20957188533010548,0.2694505591767507,-0.05987867384664522,-0.1058301963812378,-0.0006694940583314081,True,10000,10000,20260825,0.95,route (paired: same resample applied to both cells),unet_resnet34_rgb_dsm_dtm_corrected,unet_resnet34_rgb,"NONE -- descriptive, outside every family"
0.3374343528628417,0.35864188131114566,-0.02120752844830398,-0.04561004689331855,0.00011455179259844775,False,10000,10000,20260825,0.95,route (paired: same resample applied to both cells),convnext_upernet_6ch,convnext_upernet_rgb,"NONE -- descriptive, post hoc addition 2026-09-12 for Chapter 5 Table, same estimator as the 21 declared contrasts"
0.3446638436049828,0.35864188131114566,-0.013978037706162849,-0.06527528942257657,0.058260201268071896,False,10000,10000,20260825,0.95,route (paired: same resample applied to both cells),convnext_upernet_10ch,convnext_upernet_rgb,"NONE -- descriptive, post hoc addition 2026-09-12 for Chapter 5 Table, same estimator as the 21 declared contrasts"
