cell_a,cell_b,status,A_effective_n,A_p_uncorrected,B_effective_n,B_p_uncorrected,effective_n,fragile,fragile_reason,holm_p_adjusted,holm_reject,holm_threshold,median_ci_high,median_ci_low,median_route_diff,n_exact_ties,n_routes,p_uncorrected,prereg_ci_excludes_zero,prereg_ci_high,prereg_ci_low,prereg_pooled_diff,rank_biserial,sign_n,sign_p,sign_wins
convnext_upernet_rgb_ndsm,convnext_upernet_rgb,"POST-HOC EXPLORATORY -- not pre-registered, supports no claim",14,0.42626953125,13,0.339599609375,16,False,,1.0,False,0.004166666666666667,0.02810035550690848,-0.005408587822002375,0.0021786523881624775,0,16,0.2978515625,False,0.01843435351321603,-0.005003725908777588,0.0039076517216528606,0.3088235294117647,16,0.454498291015625,10
convnext_upernet_6ch_corrected,convnext_upernet_6ch,"POST-HOC EXPLORATORY -- not pre-registered, supports no claim",14,0.267578125,14,0.2957763671875,16,False,,1.0,False,0.0033333333333333335,0.025887996449042827,-0.003466648445494883,0.00816118439031431,0,16,0.252227783203125,False,0.042331735164679106,-0.06613526432661505,-0.026394286547902934,0.3382352941176471,16,0.210113525390625,11
convnext_upernet_6ch_corrected,convnext_upernet_rgb,"POST-HOC EXPLORATORY -- not pre-registered, supports no claim",14,0.463134765625,14,0.855224609375,16,False,,1.0,False,0.01,0.021137673926155676,-0.014564275017642028,1.5296470561143583e-05,0,16,0.860260009765625,False,0.01655306571074646,-0.07387114233032886,-0.047601814996206915,0.058823529411764705,16,1.0,8
swin_upernet_6ch_corrected,swin_upernet_6ch,"POST-HOC EXPLORATORY -- not pre-registered, supports no claim",14,0.7608642578125,15,0.52447509765625,16,False,,1.0,False,0.004545454545454546,0.007603052382079645,-0.022235365462633827,-0.004271931654426825,0,16,0.49542236328125,False,0.04559596986947039,-0.025361682408891494,-3.8791084810196885e-05,-0.20588235294117646,16,0.454498291015625,6
swin_upernet_6ch_corrected,swin_upernet_rgb,"POST-HOC EXPLORATORY -- not pre-registered, supports no claim",14,0.3575439453125,15,0.67877197265625,16,False,,1.0,False,0.00625,0.012660643853214193,-0.019006521059086262,0.0028080434651140407,0,16,0.668548583984375,False,0.05561068299946097,-0.03755802730380165,-0.002636069781485506,0.1323529411764706,16,0.803619384765625,9
segformer_b1_6ch_corrected,segformer_b1_6ch,"POST-HOC EXPLORATORY -- not pre-registered, supports no claim",14,0.9515380859375,15,0.846923828125,16,False,,1.0,False,0.0125,0.005869900570876441,-0.012593169317151598,-0.001657585273167561,0,16,0.860260009765625,False,0.012186669977418078,-0.029343064101764876,-0.004903287936708189,0.058823529411764705,16,1.0,8
segformer_b1_6ch_corrected,segformer_b1_rgb,"POST-HOC EXPLORATORY -- not pre-registered, supports no claim",14,0.8077392578125,15,0.5994873046875,16,False,,1.0,False,0.0071428571428571435,0.01807085414985707,-0.03776292771646156,0.0007440503828727851,0,16,0.668548583984375,False,0.00865456510366591,-0.0510763545088231,-0.03375601212214557,-0.1323529411764706,16,0.803619384765625,9
unet_resnet34_6ch_corrected,unet_resnet34_6ch,"POST-HOC EXPLORATORY -- not pre-registered, supports no claim",14,0.090576171875,15,0.33026123046875,16,False,,1.0,False,0.0035714285714285718,-2.5194289596797148e-05,-0.03696723328792406,-0.014083958151076867,0,16,0.274444580078125,True,-0.0031550003468298164,-0.075815198882962,-0.04518072992418626,-0.3235294117647059,16,0.076812744140625,4
unet_resnet34_6ch_corrected,unet_resnet34_rgb,"POST-HOC EXPLORATORY -- not pre-registered, supports no claim",14,0.0579833984375,16,0.02899169921875,16,False,,0.579833984375,False,0.0025,0.0010239598889126844,-0.07578175320700303,-0.0477077796779041,0,16,0.02899169921875,True,-0.0009313319462603893,-0.10307770380307188,-0.06693194910705094,-0.6176470588235294,16,0.210113525390625,5
convnext_upernet_ortorgb,convnext_upernet_rgb,"POST-HOC EXPLORATORY -- not pre-registered, supports no claim",14,0.013427734375,15,0.01025390625,16,False,,0.16021728515625,False,0.002380952380952381,0.10707470775868255,0.004985463309292962,0.01727457806037684,0,16,0.00762939453125,False,0.07362937581125363,-0.03455077481766866,-0.0012417292181240436,0.7352941176470589,16,0.004180908203125,14
swin_upernet_ortorgb,swin_upernet_rgb,"POST-HOC EXPLORATORY -- not pre-registered, supports no claim",14,0.0352783203125,16,0.116668701171875,16,False,,1.0,False,0.0029411764705882353,0.1001411892081216,-0.010260131173428333,0.025007473162227165,0,16,0.116668701171875,True,0.10648113074170246,0.01514388694846057,0.04970338263844154,0.45588235294117646,16,0.210113525390625,11
segformer_b1_ortorgb,segformer_b1_rgb,"POST-HOC EXPLORATORY -- not pre-registered, supports no claim",14,0.067626953125,15,0.0301513671875,16,False,,0.579833984375,False,0.002631578947368421,0.06146916591544793,0.0002515377700702537,0.03565027919284042,0,16,0.02899169921875,False,0.047368332485358586,-0.0004722053113433449,0.01278900907367242,0.6176470588235294,16,0.076812744140625,12
unet_resnet34_ortorgb,unet_resnet34_rgb,"POST-HOC EXPLORATORY -- not pre-registered, supports no claim",14,0.029541015625,16,0.14385986328125,16,False,,1.0,False,0.003125,0.07534259820698452,-0.005123140836922557,0.02259893284721959,0,16,0.14385986328125,False,0.08088469737951508,-0.0008560371513502998,0.02670660625166177,0.4264705882352941,16,0.454498291015625,10
convnext_upernet_rgb_dsm_dtm_corrected,convnext_upernet_6ch_corrected,"POST-HOC EXPLORATORY -- not pre-registered, supports no claim",14,1.0,15,1.0,16,False,,1.0,False,0.05,0.015407859479903696,-0.016737094333479918,0.003243188496043603,0,16,0.979949951171875,True,0.07654796485359312,0.007439307921138539,0.03982816909406178,0.014705882352941176,16,0.803619384765625,9
convnext_upernet_rgb_dsm_dtm_corrected,convnext_upernet_rgb,"POST-HOC EXPLORATORY -- not pre-registered, supports no claim",14,0.8077392578125,14,0.855224609375,16,False,,1.0,False,0.016666666666666666,0.019111689614041805,-0.020395927884528833,0.0005654254999357122,0,16,0.93988037109375,False,0.04396998296606077,-0.0248828639993451,-0.007773645902145132,-0.029411764705882353,16,0.803619384765625,9
swin_upernet_rgb_dsm_dtm_corrected,swin_upernet_6ch_corrected,"POST-HOC EXPLORATORY -- not pre-registered, supports no claim",14,0.855224609375,15,0.52447509765625,16,False,,1.0,False,0.005,0.019894417258465247,-0.009580916762333525,0.0016715105743176362,0,16,0.528167724609375,False,0.033240834631662594,-0.03606053656382575,0.003500103161094892,0.19117647058823528,16,0.803619384765625,9
swin_upernet_rgb_dsm_dtm_corrected,swin_upernet_rgb,"POST-HOC EXPLORATORY -- not pre-registered, supports no claim",14,1.0,15,0.76153564453125,16,False,,1.0,False,0.008333333333333333,0.031025768899884287,-0.011194875854392994,-0.0026433621149939412,0,16,0.781951904296875,False,0.03140955325834976,-0.026165450644798704,0.0008640333796093858,0.08823529411764706,16,1.0,8
segformer_b1_rgb_dsm_dtm_corrected,segformer_b1_6ch_corrected,"POST-HOC EXPLORATORY -- not pre-registered, supports no claim",14,0.5416259765625,16,0.274444580078125,16,False,,1.0,False,0.0038461538461538464,0.049387381604770186,-0.022785112247661332,0.016513398690050793,0,16,0.274444580078125,True,0.046766176812649926,0.002773874695877657,0.028778923320203487,0.3235294117647059,16,0.803619384765625,9
segformer_b1_rgb_dsm_dtm_corrected,segformer_b1_rgb,"POST-HOC EXPLORATORY -- not pre-registered, supports no claim",14,1.0,16,0.93988037109375,16,False,,1.0,False,0.025,0.01588804435485408,-0.01277552961954223,-0.00251531038530578,0,16,0.93988037109375,False,0.023955654678803926,-0.01789963208874761,-0.004977088801942087,0.029411764705882353,16,0.803619384765625,7
unet_resnet34_rgb_dsm_dtm_corrected,unet_resnet34_6ch_corrected,"POST-HOC EXPLORATORY -- not pre-registered, supports no claim",14,0.7608642578125,15,0.52447509765625,16,False,,1.0,False,0.005555555555555556,0.05217434143215266,-0.020337182526272424,0.009028109582429278,0,16,0.528167724609375,False,0.029748097387981755,-0.029405180897220957,0.0070532752604057225,0.19117647058823528,16,0.803619384765625,9
unet_resnet34_rgb_dsm_dtm_corrected,unet_resnet34_rgb,"POST-HOC EXPLORATORY -- not pre-registered, supports no claim",14,0.067626953125,15,0.041259765625,16,False,,0.60369873046875,False,0.002777777777777778,-0.00671197714629046,-0.040426918804141426,-0.019356896238371266,0,16,0.033538818359375,True,-0.0006694940583314081,-0.1058301963812378,-0.05987867384664522,-0.6029411764705882,16,0.021270751953125,3
