cell_a,cell_b,effect_B,effect_ci,effect_ci_high,effect_ci_low,effect_median_difference,effect_seed,effect_unit,family,fragile,fragile_reason,holm_p_adjusted,holm_reject,holm_threshold,n_routes,route_set,sign_effective_n,sign_n_positive,sign_p_value,wilcoxon_effective_n,wilcoxon_min_attainable_two_sided_p,wilcoxon_n_exact_ties,wilcoxon_n_near_ties,wilcoxon_n_pairs,wilcoxon_near_tie_delta,wilcoxon_p_method,wilcoxon_p_value,wilcoxon_rank_biserial,wilcoxon_statistic,wilcoxon_w_minus,wilcoxon_w_plus
convnext_upernet_rgb,swin_upernet_rgb,10000,0.95,0.0956735877557251,0.003240917363030338,0.019772100678482007,20260825,route,F1_model_ranking_rgb_weighted,False,,0.0523681640625,False,0.0125,16,primary,16,12,0.076812744140625,16,3.0517578125e-05,0,0,16,0.0,exact sign-flip enumeration over 2^16 assignments,0.013092041015625,0.6911764705882353,21.0,21.0,115.0
convnext_upernet_rgb,swin_upernet_rgb,10000,0.95,0.10508724695652825,0.001126438136519553,0.0266094795267921,20260825,route,F1_model_ranking_rgb_weighted,,,0.09814453125,False,0.0125,14,sensitivity_A_route_size,14,10,0.1795654296875,14,0.0001220703125,0,0,14,0.0,exact sign-flip enumeration over 2^14 assignments,0.0245361328125,0.6761904761904762,17.0,17.0,88.0
convnext_upernet_rgb,swin_upernet_rgb,10000,0.95,0.0956735877557251,0.003240917363030338,0.019772100678482007,20260825,route,F1_model_ranking_rgb_weighted,,,0.062255859375,False,0.01,16,sensitivity_B_near_tie,15,12,0.03515625,15,6.103515625e-05,0,1,16,0.001,exact sign-flip enumeration over 2^15 assignments,0.012451171875,0.7166666666666667,17.0,17.0,103.0
convnext_upernet_rgb,segformer_b1_rgb,10000,0.95,0.07569658600951201,0.010823607385849199,0.020342493066117545,20260825,route,F1_model_ranking_rgb_weighted,False,,0.00457763671875,True,0.008333333333333333,16,primary,16,15,0.000518798828125,16,3.0517578125e-05,0,0,16,0.0,exact sign-flip enumeration over 2^16 assignments,0.000762939453125,0.8823529411764706,8.0,8.0,128.0
convnext_upernet_rgb,segformer_b1_rgb,10000,0.95,0.08207659775668874,0.01098438194411322,0.020342493066117545,20260825,route,F1_model_ranking_rgb_weighted,,,0.013916015625,True,0.008333333333333333,14,sensitivity_A_route_size,14,13,0.0018310546875,14,0.0001220703125,0,0,14,0.0,exact sign-flip enumeration over 2^14 assignments,0.0023193359375,0.8666666666666667,7.0,7.0,98.0
convnext_upernet_rgb,segformer_b1_rgb,10000,0.95,0.07569658600951201,0.010823607385849199,0.020342493066117545,20260825,route,F1_model_ranking_rgb_weighted,,,0.0069580078125,True,0.008333333333333333,16,sensitivity_B_near_tie,15,14,0.0009765625,15,6.103515625e-05,0,1,16,0.001,exact sign-flip enumeration over 2^15 assignments,0.00115966796875,0.8833333333333333,7.0,7.0,113.0
convnext_upernet_rgb,unet_resnet34_rgb,10000,0.95,0.11051934775412489,0.004926391959454379,0.024703369417433618,20260825,route,F1_model_ranking_rgb_weighted,True,sensitivity_A_route_size|sensitivity_B_near_tie,0.045928955078125,True,0.01,16,primary,16,13,0.021270751953125,16,3.0517578125e-05,0,0,16,0.0,exact sign-flip enumeration over 2^16 assignments,0.009185791015625,0.7205882352941176,19.0,19.0,117.0
convnext_upernet_rgb,unet_resnet34_rgb,10000,0.95,0.1113166481185377,0.002092617778943928,0.032356618556901445,20260825,route,F1_model_ranking_rgb_weighted,,,0.0830078125,False,0.01,14,sensitivity_A_route_size,14,11,0.057373046875,14,0.0001220703125,0,0,14,0.0,exact sign-flip enumeration over 2^14 assignments,0.0166015625,0.7142857142857143,15.0,15.0,90.0
convnext_upernet_rgb,unet_resnet34_rgb,10000,0.95,0.11051934775412489,0.004926391959454379,0.024703369417433618,20260825,route,F1_model_ranking_rgb_weighted,,,0.062255859375,False,0.0125,16,sensitivity_B_near_tie,14,12,0.012939453125,14,0.0001220703125,0,2,16,0.001,exact sign-flip enumeration over 2^14 assignments,0.013427734375,0.7333333333333333,14.0,14.0,91.0
swin_upernet_rgb,segformer_b1_rgb,10000,0.95,0.043123597375630596,-0.007514877885101967,0.01311390847762961,20260825,route,F1_model_ranking_rgb_weighted,False,,0.57843017578125,False,0.025,16,primary,16,10,0.454498291015625,16,3.0517578125e-05,0,0,16,0.0,exact sign-flip enumeration over 2^16 assignments,0.252227783203125,0.3382352941176471,45.0,45.0,91.0
swin_upernet_rgb,segformer_b1_rgb,10000,0.95,0.043123597375630596,-0.01613436477142427,0.01311390847762961,20260825,route,F1_model_ranking_rgb_weighted,,,1.0,False,0.025,14,sensitivity_A_route_size,14,8,0.79052734375,14,0.0001220703125,0,0,14,0.0,exact sign-flip enumeration over 2^14 assignments,0.3909912109375,0.2761904761904762,38.0,38.0,67.0
swin_upernet_rgb,segformer_b1_rgb,10000,0.95,0.043123597375630596,-0.007514877885101967,0.01311390847762961,20260825,route,F1_model_ranking_rgb_weighted,,,0.623291015625,False,0.025,16,sensitivity_B_near_tie,15,9,0.60723876953125,15,6.103515625e-05,0,1,16,0.001,exact sign-flip enumeration over 2^15 assignments,0.25238037109375,0.35,39.0,39.0,81.0
swin_upernet_rgb,unet_resnet34_rgb,10000,0.95,0.047612478870923625,-0.003032184499142665,0.016129485755256273,20260825,route,F1_model_ranking_rgb_weighted,False,,0.57843017578125,False,0.016666666666666666,16,primary,16,11,0.210113525390625,16,3.0517578125e-05,0,0,16,0.0,exact sign-flip enumeration over 2^16 assignments,0.19281005859375,0.38235294117647056,42.0,42.0,94.0
