bound,macro_iou,macro_f1,overall_accuracy,kind
B1_constant_majority,0.09719292300173676,0.1036870333582614,0.8747363070156309,lower bound
B2_prior_matched_random,0.0934851651495331,0.11111109381571486,0.7704945253951297,lower bound
B3_per_tile_majority_oracle,0.39930201648078334,0.5120445043047526,0.9245402009174121,oracle / upper bound
convnext_upernet_rgb,0.35864188131114566,0.45925813657161263,0.9336311235306625,measured
convnext_upernet_10ch,0.3446638436049828,0.43476343512911486,0.9374200568295032,measured
convnext_upernet_6ch,0.3374343528628417,0.4257676871295344,0.9275252146253854,measured
convnext_upernet_rgb_unw,0.33357983040412104,0.42863644520879624,0.9304994793430771,measured
convnext_upernet_10ch_unw,0.33066596576859575,0.4172046488264539,0.935849365216784,measured
convnext_upernet_6ch_unw,0.32076970125630416,0.40207807076850555,0.9273314288961508,measured
swin_upernet_rgb_unw,0.3183258275593475,0.40252083462072397,0.9268666412607213,measured
swin_upernet_10ch,0.31342432249001617,0.39800232221170184,0.9298906654882841,measured
swin_upernet_10ch_unw,0.3012739439981095,0.37325478057043227,0.9268054952670497,measured
swin_upernet_rgb,0.29817191814481103,0.3897239180485555,0.9174672670721673,measured
segformer_b1_rgb,0.2975586407422794,0.38920603540389576,0.921323789772609,measured
swin_upernet_6ch_unw,0.29702765884888394,0.37163929670846396,0.9271945561511405,measured
swin_upernet_6ch,0.2955746394481357,0.3692138654631217,0.9235185398963642,measured
segformer_b1_10ch,0.2923835816057869,0.3668693622250563,0.9268512248076013,measured
segformer_b1_rgb_unw,0.27510195253790126,0.3515769833778308,0.915130403209605,measured
unet_resnet34_rgb,0.2694505591767507,0.3454182485663936,0.897261824381145,measured
segformer_b1_6ch,0.268705916556842,0.346996770906184,0.914946827873092,measured
unet_resnet34_rgb_unw,0.2593475516900786,0.3273566855302998,0.9019201298309165,measured
segformer_b1_6ch_unw,0.2563891020302333,0.32494427991164915,0.9177902863666161,measured
unet_resnet34_10ch,0.2523049836230148,0.31408465528702645,0.9095372486118614,measured
segformer_b1_10ch_unw,0.2513163313988154,0.3229006517659301,0.9237697392398635,measured
unet_resnet34_6ch,0.24769933999388602,0.3134093423160293,0.8977464573029805,measured
unet_resnet34_6ch_unw,0.24313710530305846,0.3041150558778402,0.9027292146445476,measured
unet_resnet34_10ch_unw,0.24228081151135417,0.3010378712325948,0.9117801270361905,measured
