job,cell,model,channels,weighting,fold,in_p03_scope,status,n_epochs,final_train_loss,final_valid_loss,best_valid_loss,best_valid_loss_epoch,final_valid_acc,best_valid_acc,best_valid_acc_epoch,final_lr,d_valid_loss_last3,d_valid_acc_last3,still_improving_loss,still_improving_acc
convnext_upernet_rgb_fold0,convnext_upernet_rgb,convnext_upernet,rgb,weighted,0,True,ok,10,0.020974986255168915,1.2310190200805664,0.739499032497406,0,0.8588873147964478,0.8618603348731995,6,2.000846828021166e-08,0.12835907936096191,-0.0014541149139404297,False,False
convnext_upernet_rgb_fold1,convnext_upernet_rgb,convnext_upernet,rgb,weighted,1,True,ok,10,0.06130259484052658,0.22869250178337097,0.1069188117980957,0,0.9739723205566406,0.982007622718811,0,2.000846828021166e-08,0.0003795027732849121,0.002366364002227783,False,False
convnext_upernet_rgb_fold2,convnext_upernet_rgb,convnext_upernet,rgb,weighted,2,True,ok,10,0.037015512585639954,0.722459077835083,0.4061165452003479,3,0.9209738373756409,0.9235138893127441,7,2.000846828021166e-08,0.16650408506393433,-0.0025400519371032715,False,False
convnext_upernet_rgb_fold0_unw,convnext_upernet_rgb_unw,convnext_upernet,rgb,unweighted,0,False,ok,10,0.020934918895363808,0.9222943782806396,0.5927793383598328,0,0.8562467098236084,0.8617889285087585,6,2.000846828021166e-08,0.10830670595169067,-0.005150020122528076,False,False
convnext_upernet_rgb_fold1_unw,convnext_upernet_rgb_unw,convnext_upernet,rgb,unweighted,1,False,ok,10,0.02364829182624817,0.21697843074798584,0.0741245299577713,5,0.9686526656150818,0.9867513179779053,5,2.000846828021166e-08,-0.031222105026245117,0.004652798175811768,False,False
convnext_upernet_rgb_fold2_unw,convnext_upernet_rgb_unw,convnext_upernet,rgb,unweighted,2,False,ok,10,0.021334649994969368,0.5994986891746521,0.304564893245697,0,0.9202761650085449,0.9219822287559509,8,2.000846828021166e-08,0.003015756607055664,0.0010458827018737793,False,False
convnext_upernet_6ch_fold0,convnext_upernet_6ch,convnext_upernet,6ch,weighted,0,True,ok,10,0.025748806074261665,1.5936899185180664,0.8222422003746033,0,0.8397635817527771,0.8523449897766113,5,2.000846828021166e-08,0.10559940338134766,-0.0019458532333374023,False,False
convnext_upernet_6ch_fold1,convnext_upernet_6ch,convnext_upernet,6ch,weighted,1,True,ok,10,0.03855288401246071,0.2775024473667145,0.08923285454511642,0,0.9749388694763184,0.9832821488380432,1,2.000846828021166e-08,0.04354068636894226,-0.003997683525085449,False,False
convnext_upernet_6ch_fold2,convnext_upernet_6ch,convnext_upernet,6ch,weighted,2,True,ok,10,0.025626055896282196,0.7257896661758423,0.3468206524848938,1,0.9135771989822388,0.9205947518348694,6,2.000846828021166e-08,0.147504985332489,-0.0014846324920654297,False,False
convnext_upernet_6ch_fold0_unw,convnext_upernet_6ch_unw,convnext_upernet,6ch,unweighted,0,False,ok,10,0.028401432558894157,1.178491234779358,0.7333976626396179,1,0.8342068791389465,0.8521643280982971,3,2.000846828021166e-08,0.1966266632080078,-0.008943736553192139,False,False
convnext_upernet_6ch_fold1_unw,convnext_upernet_6ch_unw,convnext_upernet,6ch,unweighted,1,False,ok,10,0.05045795440673828,0.1825529932975769,0.0913989469408989,0,0.9779074788093567,0.9791361093521118,1,2.000846828021166e-08,-0.1635107398033142,0.02747368812561035,False,False
convnext_upernet_6ch_fold2_unw,convnext_upernet_6ch_unw,convnext_upernet,6ch,unweighted,2,False,ok,10,0.025989465415477753,0.5107150077819824,0.30365341901779175,4,0.9140205383300781,0.9150900840759277,6,2.000846828021166e-08,0.040633052587509155,0.0009918808937072754,False,False
convnext_upernet_10ch_fold0,convnext_upernet_10ch,convnext_upernet,10ch,weighted,0,False,ok,10,0.0206209197640419,1.2769761085510254,0.8808335065841675,2,0.8479962944984436,0.8542835712432861,2,2.000846828021166e-08,0.1198652982711792,-0.0008674263954162598,False,False
convnext_upernet_10ch_fold1,convnext_upernet_10ch,convnext_upernet,10ch,weighted,1,False,ok,10,0.034786421805620193,0.1476219743490219,0.10062512755393982,0,0.9879348278045654,0.9879348278045654,9,2.000846828021166e-08,0.012843608856201172,7.677078247070312e-05,False,True
convnext_upernet_10ch_fold2,convnext_upernet_10ch,convnext_upernet,10ch,weighted,2,False,ok,10,0.09325717389583588,0.6275846362113953,0.41715285181999207,2,0.923929750919342,0.9267141222953796,7,2.000846828021166e-08,0.04195868968963623,-0.0027843713760375977,False,False
convnext_upernet_10ch_fold0_unw,convnext_upernet_10ch_unw,convnext_upernet,10ch,unweighted,0,False,ok,10,0.01431835163384676,0.959053635597229,0.7501339912414551,4,0.848229169845581,0.8509292006492615,6,2.000846828021166e-08,0.05270594358444214,-0.0023253560066223145,False,False
convnext_upernet_10ch_fold1_unw,convnext_upernet_10ch_unw,convnext_upernet,10ch,unweighted,1,False,ok,10,0.033229246735572815,0.12085837125778198,0.07789947837591171,5,0.986277163028717,0.987533688545227,8,2.000846828021166e-08,0.005043342709541321,0.0013293027877807617,False,False
convnext_upernet_10ch_fold2_unw,convnext_upernet_10ch_unw,convnext_upernet,10ch,unweighted,2,False,ok,10,0.03023650497198105,0.579711377620697,0.34349292516708374,2,0.9199531078338623,0.9256938099861145,7,2.000846828021166e-08,0.09013497829437256,-0.005740702152252197,False,False
segformer_b1_rgb_fold0,segformer_b1_rgb,segformer_b1,rgb,weighted,0,True,ok,10,0.11225123703479767,0.9509535431861877,0.8420202136039734,4,0.848670482635498,0.8568265438079834,7,2.000846828021166e-08,0.043854475021362305,-0.008156061172485352,False,False
