route,fold,tiles,years,scored_px,sealed_fraction,centroid_e,centroid_n,share_unknown,share_asfalt,share_fliser,share_grus,share_ubefestet,share_green_roof,share_drivhus,share_betonflade,share_brosten,share_unknown2,share_solceller
82-11,1,1441,2021,1271017403,0.011297115968757487,463062.0666204025,6257886.921582235,0.0,0.0,0.0,0.01129711596875751,0.9887028840312425,0.0,0.0,0.0,0.0,0.0,0.0
82-13,1,1043,2021,863989206,0.07586860986779509,506010.3844678811,6239038.930009588,0.0,0.0502356426429707,0.0,0.0028345180506803695,0.9241313901322049,0.0,0.0,0.022798449174143965,0.0,0.0,0.0
82-16,2,378,2021,306829357,0.0016331911812467181,576499.9365079365,6230648.0,0.0,0.0,0.0,0.0016331911812467149,0.9983668088187533,0.0,0.0,0.0,0.0,0.0,0.0
82-19,2,591,2021,433222749,0.15896500162783467,455517.6362098139,6216007.727580372,0.0,0.07214501563490149,0.02108514850867169,0.019816156976558034,0.8410349983721653,0.0,8.882035878499076e-05,0.0004796516352838156,4.3903511632072676e-05,0.0,0.04530630500200256
82-20,2,608,2021,316377560,0.4153266970008872,496948.8914473684,6220515.271381579,0.0,0.24511756143514096,0.08470398153396215,0.08198870046282676,0.5846733029991128,0.0,0.0002676137966295713,0.002796835527778898,0.00026869794431691045,0.0,0.00018330630023191279
82-21,1,313,2021,194724135,0.3271061237478343,497126.3290734824,6220350.354632588,0.0,0.20008580343674398,0.05994058723126437,0.06468268558491735,0.6728938762521657,0.0,0.00014937542282573242,0.0019060246435296786,0.00017855516472059307,0.0,0.0001630922638326266
82-22,2,1360,2021,1014086946,0.11701228624236726,529965.9632352941,6222479.285294117,0.0,0.061794809850554966,0.031146829297613303,0.02355253471530241,0.8829877137576327,0.0,0.00012160397142120396,0.00037378254546627406,2.2725862009074713e-05,0.0,0.0
82-24,2,1529,2021+2023,642911577,0.37411560408096367,575564.2230215827,6225038.359058208,0.0,0.22491140177430652,0.11478007806974053,0.00959201734828925,0.6258843959190363,0.000393455350703694,5.810907959431566e-05,0.0006220155528479463,0.023758526905481435,0.0,0.0
83-25,1,3630,2021,2887492462,0.007815696247521542,458677.4289256198,6148325.632231405,0.0,0.004129825846104667,0.001947846123935613,0.0016985065985602563,0.9921843037524785,0.0,3.099748351827905e-05,0.0,8.520195402678076e-06,0.0,0.0
83-26,2,1228,2021,946025258,0.007586448606216822,479998.32247557,6166910.4869706845,0.0,0.005494380785338398,0.0,0.0020920678208784147,0.9924135513937832,0.0,0.0,0.0,0.0,0.0,0.0
83-31,0,1020,2021,836776918,0.0,493110.3490196078,6104002.653921569,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83-34,1,10,2021,1067196,0.6755235214524792,558118.2,6092648.2,0.0,0.0,0.0,0.6755235214524792,0.3244764785475208,0.0,0.0,0.0,0.0,0.0,0.0
84-40,0,5269,2021+2023,2226168062,0.33587154571261657,723179.9785538053,6177498.350730689,0.0,0.17935157718564018,0.03291522111505344,0.04547081180791821,0.6641284542873834,0.0005289160419192107,5.798394209466473e-05,0.030240308514497053,0.0471036337237687,0.0,0.00020309338172510357
84-41,2,343,2021+2023,181155748,0.036760439972349124,705165.250728863,6206839.667638484,0.0,0.02171666117930743,0.0001050974104338108,0.002193769749994353,0.9632395600276509,0.0,0.0,0.0,0.0,0.0,0.012744911632613501
85-45,2,401,2023,50907628,0.569028142501552,655516.7930174563,6164247.032418952,0.0,0.0,0.0,0.037373456095813384,0.43097185749844796,0.0,0.0,0.0,0.0,0.0,0.5316546864057387
85-48,0,150,2023,21881576,0.46565283963092974,654859.36,6145188.74,0.0,0.0,0.0,0.050596492684073575,0.5343471603690703,0.0,0.0,0.0,0.0,0.0,0.4150563469468561
