lag_center_m,n_pairs,gamma,gamma_over_sill,moran_i,gamma_same_parent,gamma_same_route_diff_parent,gamma_diff_route,n_pairs_same_parent,n_pairs_same_route_diff_parent,n_pairs_diff_route
50.0,75836,0.012408039335793718,0.10020581445090232,1.1258147561168024,0.005258003681839823,0.012129670023003672,0.01895253948013476,3626,65464,6746
150.0,253160,0.029490049609375454,0.23815804893367956,0.8368088708394454,0.019050545930149872,0.031141672977667505,0.04819210695183742,55962,182036,15162
250.0,348676,0.04149342448686219,0.33509584250500507,0.6717152699581072,0.029252255554523845,0.04374788968191904,0.05982590743845458,75316,254348,19012
350.0,425816,0.048542516827398234,0.39202345370989383,0.5862218670534998,0.03411364961481481,0.050701471804984376,0.06130446768151668,69671,333852,22293
450.0,466398,0.05510808943076219,0.4450462184071925,0.5326260605051687,0.03787473253625441,0.05702166304051068,0.06643038125024606,59407,380954,26037
550.0,527078,0.061902422662193396,0.4999164260750862,0.4553654975349453,0.04231472497426451,0.06351362395771404,0.08030505410842756,61593,438300,27185
650.0,554084,0.06764757648670472,0.5463135886364706,0.39520617598060487,0.04707724764232487,0.06798728405829908,0.09099462344314234,39567,486738,27779
750.0,568951,0.06941725979809202,0.5606053355223931,0.3750491259003328,0.046751779715696475,0.0697496153299559,0.08709586197741345,28870,512706,27375
850.0,562472,0.0706271114300671,0.5703759499495323,0.3693310291915861,0.047271370443178466,0.07078335946458188,0.08484720127154553,19208,517401,25863
950.0,544580,0.07156399074414423,0.577942073183723,0.3635852768336955,0.04531459982269408,0.07099203425478907,0.09601674108301717,10323,511218,23039
1050.0,524039,0.0732606010534851,0.5916436914049732,0.3771204059627776,0.05579311927028234,0.07214284005159485,0.10771851903468507,6813,497630,19596
1150.0,491823,0.07519745769196007,0.6072855097197445,0.39218391101901423,0.09548483398502156,0.07387225877591247,0.11172366974649735,2261,473634,15928
1250.0,471957,0.0770660276197357,0.6223758528758209,0.40593499417752127,0.12449420813838948,0.07584577452665173,0.11517914116746521,1067,457568,13322
1350.0,453800,0.08174627812815675,0.660172985955314,0.39985614095102107,0.13136611973963158,0.08094690041416663,0.11123066542535846,592,442215,10993
1450.0,437193,0.08892067052629553,0.718112505164605,0.3637871941310511,0.08936826133170994,0.08864298673495642,0.10112549210407368,219,427261,9713
1550.0,421853,0.09284342386390085,0.7497921833512144,0.33719235175975826,0.09309865768210905,0.09284216978920236,0.09289589430648516,163,412621,9069
1650.0,405032,0.09357483384412173,0.7556989612701178,0.3292204885141677,0.0861924049215353,0.0936435462723565,0.09028717027023216,145,396917,7970
1750.0,393585,0.09380444621316229,0.7575532827970765,0.3373966214338594,0.0995243591030659,0.09403987506656339,0.08031358610893072,96,386700,6789
1850.0,378064,0.09459477683425387,0.76393589663547,0.3442445366623074,0.11438902804908231,0.09491145638751294,0.0741494031469509,41,372218,5805
1950.0,357464,0.09497702330076373,0.7670228725436705,0.36178675867326926,0.19460499138578122,0.09541227440353249,0.06345679406762839,11,352550,4903
2145.5149701087116,965861,0.09307686209712336,0.751677402091339,0.4040989694424391,0.2973458672274683,0.09373138310889834,0.03950683759867439,2,954193,11666
2457.7195168518756,1113908,0.08229875096746558,0.6646346893176851,0.46240079286318864,nan,0.08278554391540824,0.051636499851938404,0,1096500,17408
2815.3544988821745,1191850,0.07931801667837149,0.6405626422345673,0.3954198548982141,nan,0.07972842038600172,0.05238690786844443,0,1173960,17890
3225.030724632443,1114562,0.0833442259016568,0.6730778175536203,0.4061118543220576,nan,0.08429551636194621,0.01349269846537936,0,1099587,14975
3694.3209741270102,949787,0.08746824845806911,0.7063829214379281,0.40023408227627266,nan,0.08788705345406705,0.06806270554806612,0,929722,20065
4231.899980249091,620133,0.13100581495660887,1.057987005864972,0.36981975362219816,nan,0.1316617929163737,0.07957554706197274,0,612323,7810
4847.704779378097,477409,0.14820260261060528,1.1968661684927797,0.5332665785869922,nan,0.14814996545179349,0.4072164948453608,0,477312,97
5553.118395445163,625649,0.1389448164550219,1.1221014150432633,0.6594940065305646,nan,0.13859299451989354,0.2030112098816494,0,622232,3417
6361.180252768504,1070640,0.18065660810544415,1.458960764165365,0.2885317436642154,nan,0.17175371612028983,0.24603745528754556,0,942324,128316
7286.827207106239,1221367,0.2007635736480877,1.6213421689796286,0.35645234620357774,nan,0.1824345578214958,0.30294215371033045,0,1035599,185768
8347.169650335654,804982,0.1949107299246091,1.57407531591017,0.4188239139458058,nan,0.18736693422546163,0.24690300565254264,0,702983,101999
9561.807792496602,399239,0.14147775485810343,1.142557117089804,0.5752687524138284,nan,0.15136915475639687,0.059235502477098335,0,356377,42862
10953.193967606989,361713,0.14303751958018537,1.155153587015325,0.48493944095824204,nan,0.14479893814866593,0.056554063541910955,0,354493,7220
12547.047660398239,444817,0.13555641227934473,1.094737075607854,0.17556600988733015,nan,0.136682404962234,0.12271645991539445,0,408954,35863
14372.830925653685,264507,0.15200922975159464,1.227608025658995,-0.11337875022227907,nan,0.16057392829580458,0.10062466481084818,0,226718,37789
16464.292988177764,1425506,0.17994890422673784,1.453245433835032,-0.23498778177830698,nan,0.1784295247841633,0.1924362278706243,0,1270874,154632
18860.09409021352,2613482,0.09224750210552579,0.744979591810283,0.061021287465069456,nan,0.0792045188035881,0.13896444910958936,0,2043073,570409
21604.520117998425,2095901,0.07944009403485205,0.6415485240972125,0.09892668516422026,nan,0.04785601790401307,0.14219365421035146,0,1394197,701704
24748.301217182052,783489,0.15429515131215724,1.2460688497705263,-0.042024353360161304,nan,0.2711834343541581,0.06176377266958814,0,346182,437307
28349.549529041684,3489773,0.02605822576630987,0.21044305755269724,0.24101627472891204,nan,0.21236644786008674,0.023507709303074754,0,47129,3442644
32474.833381355624,3430596,0.0520037277223244,0.4199757713425351,0.1817137325957788,nan,0.12951003830614866,0.04808381950178192,0,165151,3265445
37200.407790129015,759185,0.14618759305381315,1.180593196728237,0.32922300156592255,nan,0.15672921581340693,0.10389165020590375,0,607720,151465
42613.62401774152,3029878,0.11877155932789667,0.959184647466644,-0.031315990873353794,nan,0.18081964367686726,0.10833698543712991,0,436180,2593698
48814.54424290705,6457091,0.06876040765532596,0.5553006776180762,0.08763046497813705,nan,0.17796059123788754,0.06788242003313086,0,51502,6405589
55917.79118928411,4412272,0.09639083725611876,0.7784406618530353,-0.07931582369229233,nan,nan,0.09639083725611876,0,0,4412272
64054.66690273801,1834176,0.047260315510669997,0.38166855204044703,0.3618580452512733,0.03304868553127093,0.0035622895262868138,0.04728860452490585,48,1171,1832957
73375.57984241348,13442081,0.08321339697183072,0.6720212590505259,0.1737917916622764,nan,nan,0.08321339697183072,0,0,13442081
84052.82514989167,3918475,0.13970976517490338,1.1282790477388478,-0.059446664884770635,nan,nan,0.13970976517490338,0,0,3918475
96283.76948913091,6220598,0.0357457232668904,0.28867810748813943,0.27841752947439136,nan,nan,0.0357457232668904,0,0,6220598
110294.49932829599,15722483,0.06933557791127426,0.5599456825528182,0.09256486319479099,nan,nan,0.06933557791127426,0,0,15722483
126344.00010120828,4977397,0.10841284939984798,0.8755289677166276,-0.06709213216697889,nan,nan,0.10841284939984798,0,0,4977397
144728.94349935066,12938212,0.15610861335490694,1.2607141483589441,-0.16059270500340095,nan,nan,0.15610861335490694,0,0,12938212
165789.17138652425,10609745,0.16103817017750024,1.3005246488676747,0.23325984074835815,nan,nan,0.16103817017750024,0,0,10609745
189913.9777051824,8521446,0.15769923586125306,1.273559821991889,-0.2630927033307708,nan,nan,0.15769923586125306,0,0,8521446
217549.3044941785,10950735,0.15620841840451152,1.2615201617838927,-0.13219011122276697,nan,nan,0.15620841840451152,0,0,10950735
249205.98503482013,26282041,0.1472191622399271,1.188924023836337,-0.1701780861516243,nan,nan,0.1472191622399271,0,0,26282041
285469.186498074,19781306,0.20259784301787487,1.636155505006993,-0.40632597091010336,nan,nan,0.20259784301787487,0,0,19781306
327009.2266382998,0,nan,nan,nan,nan,nan,nan,0,0,0
374593.9644778452,0,nan,nan,nan,nan,nan,nan,0,0,0
